currentCategoryId,currentName,targetPath,action,riskLevel,listingCount,productCount,sellerOfferCount,applicationBucket,bucketReason,notes
cmsg4wowy001vuzxwe59qnwfj,Elektronik,Elektronik,KEEP,LOW,0,0,0,SAFE_AUTOMATIC,exact keep,
cmsg4wox6001xuzxwyd1lcls8,Telefon ve Aksesuar,Elektronik › Telefon ve Aksesuar,KEEP,LOW,0,0,0,SAFE_AUTOMATIC,exact keep,
,,Elektronik › Telefon ve Aksesuar › Cep Telefonu,CREATE_NEW,MEDIUM,0,0,0,SAFE_AUTOMATIC,validated no-match create,may receive records from split: split group: phones vs accessories by title/attrs
cmsg3xg0i000vuzdcq5lzaldx,Akıllı Telefon,Elektronik › Telefon ve Aksesuar › Cep Telefonu › Akıllı Telefon,MOVE,CRITICAL,4,3,7,SAFE_WITH_TRANSACTION,related move — txn + alias,move from parent 'Cep Telefonu & Aksesuar' → 'Cep Telefonu'
cmsg3xg11000xuzdczy5pt1ie,Tuşlu Telefon,Elektronik › Telefon ve Aksesuar › Cep Telefonu › Tuşlu Telefon,MOVE,CRITICAL,9,10,15,SAFE_WITH_TRANSACTION,related move — txn + alias,move from parent 'Cep Telefonu & Aksesuar' → 'Cep Telefonu'
,,Elektronik › Telefon ve Aksesuar › Cep Telefonu › Katlanabilir Telefon,CREATE_NEW,MEDIUM,0,0,0,SAFE_AUTOMATIC,validated no-match create,may receive records from split: split group: phones vs accessories by title/attrs
,,Elektronik › Telefon ve Aksesuar › Cep Telefonu › Outdoor Telefon,CREATE_NEW,MEDIUM,0,0,0,SAFE_AUTOMATIC,validated no-match create,may receive records from split: split group: phones vs accessories by title/attrs
,,Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları,CREATE_NEW,MEDIUM,0,0,0,SAFE_AUTOMATIC,validated no-match create,may receive records from split: split group: phones vs accessories by title/attrs
cmsg3xg34001duzdcb74zdgwf,Telefon Kılıfı,Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Telefon Kılıfı,MOVE,LOW,0,0,0,SAFE_AUTOMATIC,empty move preserve id,move from parent 'Cep Telefonu & Aksesuar' → 'Telefon Aksesuarları'
cmsg3xg3e001fuzdctc7xfww9,Ekran Koruyucu,Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Ekran Koruyucu,MOVE,LOW,0,0,0,SAFE_AUTOMATIC,empty move preserve id,move from parent 'Cep Telefonu & Aksesuar' → 'Telefon Aksesuarları'
,,Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Şarj Adaptörü,CREATE_NEW,MEDIUM,0,0,0,SAFE_AUTOMATIC,validated no-match create,may receive records from split: title keyword: powerbank|şarj|adaptör
