categoryPath,action,attributeSlug,attributeName,type,required,filterable,searchable,comparisonVisible,isVariant,optionValues,unit,reason
Ev Aletleri › Beyaz Eşya › Çamaşır Bakımı › Çamaşır Makinesi,UPSERT,yikama-kapasitesi,Yıkama Kapasitesi,SINGLE_SELECT,true,true,true,true,false,5 kg;6 kg;7 kg;8 kg;9 kg;10 kg;12 kg,kg,critical override for Çamaşır Makinesi
Ev Aletleri › Beyaz Eşya › Çamaşır Bakımı › Çamaşır Makinesi,UPSERT,devir,Devir,SINGLE_SELECT,false,true,true,true,false,1000;1200;1400;1600,,critical override for Çamaşır Makinesi
Ev Aletleri › Beyaz Eşya › Çamaşır Bakımı › Çamaşır Makinesi,UPSERT,kurutmali,Kurutmalı,BOOLEAN,false,true,true,true,false,,,critical override for Çamaşır Makinesi
Ev Aletleri › Beyaz Eşya › Çamaşır Bakımı › Çamaşır Makinesi,UPSERT,ses-seviyesi,Ses Seviyesi,NUMBER,false,false,true,true,false,,dB,critical override for Çamaşır Makinesi
Ev Aletleri › Beyaz Eşya › Çamaşır Bakımı › Çamaşır Makinesi,REMOVE,hacim,,,false,false,false,false,false,,,fridge attr wrongly on washer
Ev Aletleri › Beyaz Eşya › Çamaşır Bakımı › Çamaşır Makinesi,REMOVE,kapi-tipi,,,false,false,false,false,false,,,fridge attr wrongly on washer
Ev Aletleri › Beyaz Eşya › Çamaşır Bakımı › Çamaşır Makinesi,REMOVE,no-frost,,,false,false,false,false,false,,,fridge attr wrongly on washer
Ev Aletleri › Beyaz Eşya › Çamaşır Bakımı › Kurutmalı Çamaşır Makinesi,UPSERT,yikama-kapasitesi,Yıkama Kapasitesi,SINGLE_SELECT,true,true,true,true,false,5 kg;6 kg;7 kg;8 kg;9 kg;10 kg;12 kg,kg,critical override for Çamaşır Makinesi
Ev Aletleri › Beyaz Eşya › Çamaşır Bakımı › Kurutmalı Çamaşır Makinesi,UPSERT,devir,Devir,SINGLE_SELECT,false,true,true,true,false,1000;1200;1400;1600,,critical override for Çamaşır Makinesi
Ev Aletleri › Beyaz Eşya › Çamaşır Bakımı › Kurutmalı Çamaşır Makinesi,UPSERT,kurutmali,Kurutmalı,BOOLEAN,false,true,true,true,false,,,critical override for Çamaşır Makinesi
Ev Aletleri › Beyaz Eşya › Çamaşır Bakımı › Kurutmalı Çamaşır Makinesi,UPSERT,ses-seviyesi,Ses Seviyesi,NUMBER,false,false,true,true,false,,dB,critical override for Çamaşır Makinesi
Ev Aletleri › Beyaz Eşya › Çamaşır Bakımı › Kurutmalı Çamaşır Makinesi,REMOVE,hacim,,,false,false,false,false,false,,,fridge attr wrongly on washer
Ev Aletleri › Beyaz Eşya › Çamaşır Bakımı › Kurutmalı Çamaşır Makinesi,REMOVE,kapi-tipi,,,false,false,false,false,false,,,fridge attr wrongly on washer
Ev Aletleri › Beyaz Eşya › Çamaşır Bakımı › Kurutmalı Çamaşır Makinesi,REMOVE,no-frost,,,false,false,false,false,false,,,fridge attr wrongly on washer
Ev Aletleri › Beyaz Eşya › Soğutma › Buzdolabı,UPSERT,hacim,Hacim,SINGLE_SELECT,true,true,true,true,false,200 L;250 L;300 L;350 L;400 L;500 L+,L,critical override for Buzdolabı
Ev Aletleri › Beyaz Eşya › Soğutma › Buzdolabı,UPSERT,kapi-tipi,Kapı Tipi,SINGLE_SELECT,true,true,true,true,false,Tek Kapı;Çift Kapı;French Door;Side by Side,,critical override for Buzdolabı
Ev Aletleri › Beyaz Eşya › Soğutma › Buzdolabı,UPSERT,no-frost,No-Frost,BOOLEAN,false,true,true,true,false,,,critical override for Buzdolabı
Ev Aletleri › Beyaz Eşya › Soğutma › Buzdolabı,UPSERT,derin-dondurucu,Derin Dondurucu,BOOLEAN,false,true,true,true,false,,,critical override for Buzdolabı
Ev Aletleri › Beyaz Eşya › Soğutma › Mini Buzdolabı,UPSERT,hacim,Hacim,SINGLE_SELECT,true,true,true,true,false,200 L;250 L;300 L;350 L;400 L;500 L+,L,critical override for Buzdolabı
