categoryPath,leafName,templateId,notes
Elektronik › Telefon ve Aksesuar › Cep Telefonu › Akıllı Telefon,Akıllı Telefon,PHONE,
Elektronik › Telefon ve Aksesuar › Cep Telefonu › Tuşlu Telefon,Tuşlu Telefon,PHONE,
Elektronik › Telefon ve Aksesuar › Cep Telefonu › Katlanabilir Telefon,Katlanabilir Telefon,PHONE,
Elektronik › Telefon ve Aksesuar › Cep Telefonu › Outdoor Telefon,Outdoor Telefon,PHONE,
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Telefon Kılıfı,Telefon Kılıfı,SMALL_APPLIANCE,
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Ekran Koruyucu,Ekran Koruyucu,SMALL_APPLIANCE,
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Şarj Adaptörü,Şarj Adaptörü,SMALL_APPLIANCE,
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Şarj Kablosu,Şarj Kablosu,SMALL_APPLIANCE,
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Kablosuz Şarj Cihazı,Kablosuz Şarj Cihazı,SMALL_APPLIANCE,
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Powerbank,Powerbank,SMALL_APPLIANCE,
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Araç İçi Telefon Tutucu,Araç İçi Telefon Tutucu,SMALL_APPLIANCE,
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Masaüstü Telefon Standı,Masaüstü Telefon Standı,COMPUTER,
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Selfie Çubuğu,Selfie Çubuğu,SMALL_APPLIANCE,
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Bluetooth Kulaklık,Bluetooth Kulaklık,SMALL_APPLIANCE,
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Kablolu Kulaklık,Kablolu Kulaklık,SMALL_APPLIANCE,
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Telefon Yedek Parça,Telefon Yedek Parça,SMALL_APPLIANCE,
Elektronik › Telefon ve Aksesuar › Giyilebilir Teknoloji › Akıllı Saat,Akıllı Saat,SMALL_APPLIANCE,
