templateId,attributeName,attributeSlug,type,required,filterable,searchable,comparisonVisible,isVariant,optionValues,unit,sortOrder
PHONE,Depolama,depolama,SINGLE_SELECT,true,true,true,true,true,64 GB;128 GB;256 GB;512 GB;1 TB,,1
PHONE,RAM,ram,SINGLE_SELECT,false,true,true,true,true,4 GB;6 GB;8 GB;12 GB;16 GB,,2
PHONE,Renk,renk,COLOR,false,true,true,true,true,Siyah;Beyaz;Gri;Mavi;Altın;Mor;Diğer,,3
PHONE,Ekran Boyutu,ekran-boyutu,SINGLE_SELECT,false,true,true,true,false,5.5;6.1;6.5;6.7;6.8;7.0,inç,4
PHONE,İşletim Sistemi,isletim-sistemi,SINGLE_SELECT,false,true,true,true,false,iOS;Android;HarmonyOS;Diğer,,5
PHONE,SIM Tipi,sim-tipi,SINGLE_SELECT,false,true,true,true,false,Tek SIM;Çift SIM;eSIM;Çift SIM + eSIM,,6
PHONE,5G,5g,BOOLEAN,false,true,true,true,false,,,7
PHONE,Garanti,garanti,SINGLE_SELECT,false,false,false,false,false,Yok;6 Ay;12 Ay;24 Ay,,8
COMPUTER,İşlemci,islemci,SINGLE_SELECT,true,true,true,true,false,Intel i3;Intel i5;Intel i7;Intel i9;AMD Ryzen 5;AMD Ryzen 7;Apple M;Diğer,,1
COMPUTER,RAM,ram,SINGLE_SELECT,true,true,true,true,true,8 GB;16 GB;32 GB;64 GB,,2
COMPUTER,Depolama,depolama,SINGLE_SELECT,true,true,true,true,true,256 GB;512 GB;1 TB;2 TB,,3
COMPUTER,Ekran Boyutu,ekran-boyutu,SINGLE_SELECT,false,true,true,true,false,13;14;15.6;16;17,inç,4
COMPUTER,İşletim Sistemi,isletim-sistemi,SINGLE_SELECT,false,true,true,true,false,Windows;macOS;ChromeOS;Linux;FreeDOS,,5
COMPUTER,Renk,renk,COLOR,false,true,true,true,true,Siyah;Gri;Gümüş;Beyaz;Diğer,,6
COMPUTER,Garanti,garanti,SINGLE_SELECT,false,false,false,false,false,12 Ay;24 Ay;36 Ay,,7
TV,Ekran Boyutu,ekran-boyutu,SINGLE_SELECT,true,true,true,true,true,32;40;43;50;55;65;75;85,inç,1
TV,Çözünürlük,cozunurluk,SINGLE_SELECT,true,true,true,true,false,HD;Full HD;4K;8K,,2
TV,Panel Tipi,panel-tipi,SINGLE_SELECT,false,true,true,true,false,LED;QLED;OLED;Mini-LED;Diğer,,3
TV,Smart TV,smart-tv,BOOLEAN,false,true,true,true,false,,,4
TV,HDR,hdr,SINGLE_SELECT,false,true,true,true,false,Yok;HDR10;HDR10+;Dolby Vision,,5
TV,Yenileme Hızı,yenileme-hizi,SINGLE_SELECT,false,true,true,true,false,60 Hz;120 Hz;144 Hz,,6
TV,Garanti,garanti,SINGLE_SELECT,false,false,false,false,false,12 Ay;24 Ay;36 Ay,,7
WHITE_GOODS,Enerji Sınıfı,enerji-sinifi,SINGLE_SELECT,true,true,true,true,false,A;B;C;D;E;F;G,,1
WHITE_GOODS,Renk,renk,COLOR,false,true,true,true,false,Beyaz;Gri;Siyah;Inox;Diğer,,2
WHITE_GOODS,Ölçüler,olculer,TEXT,false,false,false,false,false,,,3
WHITE_GOODS,Garanti,garanti,SINGLE_SELECT,false,false,false,false,false,12 Ay;24 Ay;36 Ay,,4
SMALL_APPLIANCE,Güç,guc,NUMBER,false,true,true,true,false,,W,1
SMALL_APPLIANCE,Kapasite,kapasite,TEXT,false,true,true,true,false,,,2
SMALL_APPLIANCE,Renk,renk,COLOR,false,true,true,true,true,Siyah;Beyaz;Gri;Kırmızı;Diğer,,3
SMALL_APPLIANCE,Malzeme,malzeme,SINGLE_SELECT,false,true,true,true,false,Plastik;Paslanmaz Çelik;Cam;Diğer,,4
SMALL_APPLIANCE,Garanti,garanti,SINGLE_SELECT,false,false,false,false,false,Yok;12 Ay;24 Ay,,5
