oldSlug,oldPath,oldCategoryId,targetCategoryId,targetPath,redirectType,reason,preserveSeo,active,notes
sifir-urun,sifir-urun,cms93j5l1001vuz3gboidp5m9,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-cep-telefonu__akilli-saat,sifir-urun/elektronik/telefon-ve-aksesuar/cep-telefonu/akilli-saat,cmsg3xg18000zuzdct7y3h84l,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-cep-telefonu__kulaklik,sifir-urun/elektronik/telefon-ve-aksesuar/cep-telefonu/kulaklik,cmsg3xg1g0011uzdcfo9uiwzh,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-cep-telefonu__sarj-powerbank,sifir-urun/elektronik/telefon-ve-aksesuar/cep-telefonu/sarj-powerbank,cmsg3xg1y0013uzdcn3no2nil,,Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Şarj Adaptörü | Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Powerbank,MANUAL_REVIEW,title keyword: powerbank|şarj|adaptör,true,true,SPLIT
sifir-urun-cep-telefonu__kilif-aksesuar,sifir-urun/elektronik/telefon-ve-aksesuar/cep-telefonu/kilif-aksesuar,cmsg3xg250015uzdcac1tp3f4,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-cep-telefonu__diger-aksesuar,sifir-urun/elektronik/telefon-ve-aksesuar/cep-telefonu/diger-aksesuar,cmsg3xg2e0017uzdcsodciep8,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-cep-telefonu__yenilenmis-telefon,sifir-urun/elektronik/telefon-ve-aksesuar/cep-telefonu/yenilenmis-telefon,cmsg3xg2n0019uzdc9ltguw8a,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-cep-telefonu__sarj-cihazi,sifir-urun/elektronik/telefon-ve-aksesuar/cep-telefonu/sarj-cihazi,cmsg3xg3m001huzdc7fdghxgl,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-cep-telefonu__arac-telefon-aksesuari,sifir-urun/elektronik/telefon-ve-aksesuar/cep-telefonu/arac-telefon-aksesuari,cmsg3xg46001luzdc6nkzdram,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-cep-telefonu__telefon-yedek-parca,sifir-urun/elektronik/telefon-ve-aksesuar/cep-telefonu/telefon-yedek-parca,cmsg3xg4p001nuzdcfo07dap1,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-bilgisayar__dizustu,sifir-urun/elektronik/bilgisayar-ve-tablet/bilgisayar/dizustu,cmsg3xgb4002fuzdc9803rtxy,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-bilgisayar__masaustu,sifir-urun/elektronik/bilgisayar-ve-tablet/bilgisayar/masaustu,cmsg3xgbp002huzdcc5tcrs10,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-bilgisayar__yazici-tarayici,sifir-urun/elektronik/bilgisayar-ve-tablet/bilgisayar/yazici-tarayici,cmsg3xgfp002puzdcg7jmoiov,,Elektronik › Bilgisayar ve Tablet › Bilgisayar Çevre Birimleri › Yazıcı | Elektronik › Bilgisayar ve Tablet › Bilgisayar Çevre Birimleri › Tarayıcı,MANUAL_REVIEW,title keyword: yazıcı|tarayıcı|scanner,true,true,SPLIT
sifir-urun-bilgisayar__bilgisayar-parcasi,sifir-urun/elektronik/bilgisayar-ve-tablet/bilgisayar/bilgisayar-parcasi,cmsg3xgg0002ruzdcqrjb1co0,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-bilgisayar__cevre-birimi,sifir-urun/elektronik/bilgisayar-ve-tablet/bilgisayar/cevre-birimi,cmsg3xgg9002tuzdctxioz346,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-bilgisayar__network,sifir-urun/elektronik/bilgisayar-ve-tablet/bilgisayar/network,cmsg3xggl002vuzdc797cj1tk,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-bilgisayar__yazilim,sifir-urun/elektronik/bilgisayar-ve-tablet/bilgisayar/yazilim,cmsg3xggw002xuzdcmr7bli1s,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-muzik,sifir-urun/sifir-urun-muzik,cms93j5p80031uz3g0ifpzc1a,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
sifir-urun-ofis-kirtasiye,sifir-urun/sifir-urun-ofis-kirtasiye,cms93j5pg0033uz3gj3ie66g7,,,INTERNAL_ALIAS,in DB (sifir) but not in target MD by name match,true,true,ARCHIVE
