categoryPath,attributeName,attributeSlug,type,required,filterable,searchable,formVisible,detailVisible,comparisonVisible,isVariant,unit,sortOrder,optionValues,source,notes
Elektronik › Telefon ve Aksesuar › Cep Telefonu › Akıllı Telefon,Renk,renk,COLOR,false,true,true,true,true,false,true,,1,Siyah;Beyaz;Gri;Mavi;Kırmızı;Diğer,plan,generic plan — refine per leaf in FAZ A
Elektronik › Telefon ve Aksesuar › Cep Telefonu › Akıllı Telefon,Garanti,garanti,SINGLE_SELECT,false,false,false,true,true,false,false,,2,Yok;6 Ay;12 Ay;24 Ay,plan,generic
Elektronik › Telefon ve Aksesuar › Cep Telefonu › Tuşlu Telefon,Renk,renk,COLOR,false,true,true,true,true,false,true,,1,Siyah;Beyaz;Gri;Mavi;Kırmızı;Diğer,plan,generic plan — refine per leaf in FAZ A
Elektronik › Telefon ve Aksesuar › Cep Telefonu › Tuşlu Telefon,Garanti,garanti,SINGLE_SELECT,false,false,false,true,true,false,false,,2,Yok;6 Ay;12 Ay;24 Ay,plan,generic
Elektronik › Telefon ve Aksesuar › Cep Telefonu › Katlanabilir Telefon,Depolama,depolama,SINGLE_SELECT,true,true,true,true,true,true,true,,1,64 GB;128 GB;256 GB;512 GB;1 TB,plan,variant key with renk
Elektronik › Telefon ve Aksesuar › Cep Telefonu › Katlanabilir Telefon,RAM,ram,SINGLE_SELECT,false,true,true,true,true,true,true,,2,4 GB;6 GB;8 GB;12 GB;16 GB,plan,
Elektronik › Telefon ve Aksesuar › Cep Telefonu › Katlanabilir Telefon,Renk,renk,COLOR,false,true,true,true,true,true,true,,3,Siyah;Beyaz;Gri;Mavi;Altın;Mor;Diğer,plan,
Elektronik › Telefon ve Aksesuar › Cep Telefonu › Katlanabilir Telefon,Ekran Boyutu,ekran-boyutu,SINGLE_SELECT,false,true,true,true,true,true,true,,4,,plan,
Elektronik › Telefon ve Aksesuar › Cep Telefonu › Katlanabilir Telefon,İşletim Sistemi,isletim-sistemi,SINGLE_SELECT,false,true,true,true,true,true,true,,5,iOS;Android;HarmonyOS;Diğer,plan,
Elektronik › Telefon ve Aksesuar › Cep Telefonu › Katlanabilir Telefon,SIM Tipi,sim-tipi,SINGLE_SELECT,false,true,true,true,true,true,true,,6,Tek SIM;Çift SIM;eSIM;Çift SIM + eSIM,plan,
Elektronik › Telefon ve Aksesuar › Cep Telefonu › Katlanabilir Telefon,5G,5g,BOOLEAN,false,true,true,true,true,true,true,,7,,plan,
Elektronik › Telefon ve Aksesuar › Cep Telefonu › Katlanabilir Telefon,Garanti,garanti,SINGLE_SELECT,false,true,true,true,true,true,false,,8,Yok;6 Ay;12 Ay;24 Ay,plan,
Elektronik › Telefon ve Aksesuar › Cep Telefonu › Outdoor Telefon,Depolama,depolama,SINGLE_SELECT,true,true,true,true,true,true,true,,1,64 GB;128 GB;256 GB;512 GB;1 TB,plan,variant key with renk
Elektronik › Telefon ve Aksesuar › Cep Telefonu › Outdoor Telefon,RAM,ram,SINGLE_SELECT,false,true,true,true,true,true,true,,2,4 GB;6 GB;8 GB;12 GB;16 GB,plan,
Elektronik › Telefon ve Aksesuar › Cep Telefonu › Outdoor Telefon,Renk,renk,COLOR,false,true,true,true,true,true,true,,3,Siyah;Beyaz;Gri;Mavi;Altın;Mor;Diğer,plan,
Elektronik › Telefon ve Aksesuar › Cep Telefonu › Outdoor Telefon,Ekran Boyutu,ekran-boyutu,SINGLE_SELECT,false,true,true,true,true,true,true,,4,,plan,
Elektronik › Telefon ve Aksesuar › Cep Telefonu › Outdoor Telefon,İşletim Sistemi,isletim-sistemi,SINGLE_SELECT,false,true,true,true,true,true,true,,5,iOS;Android;HarmonyOS;Diğer,plan,
Elektronik › Telefon ve Aksesuar › Cep Telefonu › Outdoor Telefon,SIM Tipi,sim-tipi,SINGLE_SELECT,false,true,true,true,true,true,true,,6,Tek SIM;Çift SIM;eSIM;Çift SIM + eSIM,plan,
