categoryId,categoryName,categoryPath,brandCount,issueType,sampleBrands,missingCoreBrands,allowUnbrandedSuggested,brandRequiredSuggested,recommendation,mutateDb
cmsg3xg11000xuzdczy5pt1ie,Tuşlu Telefon,sifir-urun/elektronik/telefon-ve-aksesuar/cep-telefonu/tuslu-telefon,30,TOO_MANY_BRANDS,Apple;Samsung;Xiaomi;Huawei;Oppo;Vivo;Realme;Honor;Tecno;Infinix;Google;OnePlus,,false,true,Cap featured brands; keep allowUnbranded policy explicit,false
cmsg3xg18000zuzdct7y3h84l,Akıllı Saat & Bileklik,sifir-urun/elektronik/telefon-ve-aksesuar/cep-telefonu/akilli-saat,30,TOO_MANY_BRANDS,Apple;Samsung;Xiaomi;Huawei;Oppo;Vivo;Realme;Honor;Tecno;Infinix;Google;OnePlus,,false,false,Cap featured brands; keep allowUnbranded policy explicit,false
cmsg3xg1g0011uzdcfo9uiwzh,Kulaklık & Bluetooth,sifir-urun/elektronik/telefon-ve-aksesuar/cep-telefonu/kulaklik,30,TOO_MANY_BRANDS,Apple;Samsung;Xiaomi;Huawei;Oppo;Vivo;Realme;Honor;Tecno;Infinix;Google;OnePlus,,false,false,Cap featured brands; keep allowUnbranded policy explicit,false
cmsg3xg1y0013uzdcn3no2nil,Şarj & Powerbank,sifir-urun/elektronik/telefon-ve-aksesuar/cep-telefonu/sarj-powerbank,30,TOO_MANY_BRANDS,Apple;Samsung;Xiaomi;Huawei;Oppo;Vivo;Realme;Honor;Tecno;Infinix;Google;OnePlus,,false,false,Cap featured brands; keep allowUnbranded policy explicit,false
cmsg3xg250015uzdcac1tp3f4,Kılıf & Koruyucu,sifir-urun/elektronik/telefon-ve-aksesuar/cep-telefonu/kilif-aksesuar,30,TOO_MANY_BRANDS,Apple;Samsung;Xiaomi;Huawei;Oppo;Vivo;Realme;Honor;Tecno;Infinix;Google;OnePlus,,false,false,Cap featured brands; keep allowUnbranded policy explicit,false
cmsg3xg2e0017uzdcsodciep8,Diğer Aksesuar,sifir-urun/elektronik/telefon-ve-aksesuar/cep-telefonu/diger-aksesuar,30,TOO_MANY_BRANDS,Apple;Samsung;Xiaomi;Huawei;Oppo;Vivo;Realme;Honor;Tecno;Infinix;Google;OnePlus,,true,false,Cap featured brands; keep allowUnbranded policy explicit,false
cmsg3xg2n0019uzdc9ltguw8a,Yenilenmiş Telefon,sifir-urun/elektronik/telefon-ve-aksesuar/cep-telefonu/yenilenmis-telefon,30,TOO_MANY_BRANDS,Apple;Samsung;Xiaomi;Huawei;Oppo;Vivo;Realme;Honor;Tecno;Infinix;Google;OnePlus,,false,true,Cap featured brands; keep allowUnbranded policy explicit,false
cmsg3xg2w001buzdcs386yyc7,Akıllı Bileklik,sifir-urun/elektronik/telefon-ve-aksesuar/cep-telefonu/akilli-bileklik,30,TOO_MANY_BRANDS,Apple;Samsung;Xiaomi;Huawei;Oppo;Vivo;Realme;Honor;Tecno;Infinix;Google;OnePlus,,false,false,Cap featured brands; keep allowUnbranded policy explicit,false
cmsg3xg34001duzdcb74zdgwf,Telefon Kılıfı,sifir-urun/elektronik/telefon-ve-aksesuar/cep-telefonu/telefon-kilifi,30,TOO_MANY_BRANDS,Apple;Samsung;Xiaomi;Huawei;Oppo;Vivo;Realme;Honor;Tecno;Infinix;Google;OnePlus,,false,true,Cap featured brands; keep allowUnbranded policy explicit,false
cmsg3xg3e001fuzdctc7xfww9,Ekran Koruyucu,sifir-urun/elektronik/telefon-ve-aksesuar/cep-telefonu/ekran-koruyucu,30,TOO_MANY_BRANDS,Apple;Samsung;Xiaomi;Huawei;Oppo;Vivo;Realme;Honor;Tecno;Infinix;Google;OnePlus,,false,false,Cap featured brands; keep allowUnbranded policy explicit,false
cmsg3xg3m001huzdc7fdghxgl,Şarj Cihazı,sifir-urun/elektronik/telefon-ve-aksesuar/cep-telefonu/sarj-cihazi,30,TOO_MANY_BRANDS,Apple;Samsung;Xiaomi;Huawei;Oppo;Vivo;Realme;Honor;Tecno;Infinix;Google;OnePlus,,false,false,Cap featured brands; keep allowUnbranded policy explicit,false
cmsg3xg3w001juzdc5c71p9y9,Şarj Kablosu,sifir-urun/elektronik/telefon-ve-aksesuar/cep-telefonu/sarj-kablosu,30,TOO_MANY_BRANDS,Apple;Samsung;Xiaomi;Huawei;Oppo;Vivo;Realme;Honor;Tecno;Infinix;Google;OnePlus,,false,false,Cap featured brands; keep allowUnbranded policy explicit,false
cms93j5le001zuz3ggzyxcy3i,Bilgisayar,sifir-urun/elektronik/bilgisayar-ve-tablet/bilgisayar,24,REVIEW,Apple;Samsung;Huawei;Casper;Diğer;Asus;Lenovo;HP;Dell;Acer;MSI;Monster,,false,false,Cap featured brands; keep allowUnbranded policy explicit,false
cmsg3xg46001luzdc6nkzdram,Araç Telefon Aksesuarı,sifir-urun/elektronik/telefon-ve-aksesuar/cep-telefonu/arac-telefon-aksesuari,30,TOO_MANY_BRANDS,Apple;Samsung;Xiaomi;Huawei;Oppo;Vivo;Realme;Honor;Tecno;Infinix;Google;OnePlus,,false,true,Cap featured brands; keep allowUnbranded policy explicit,false
cmsg3xg4p001nuzdcfo07dap1,Telefon Yedek Parçası,sifir-urun/elektronik/telefon-ve-aksesuar/cep-telefonu/telefon-yedek-parca,30,TOO_MANY_BRANDS,Apple;Samsung;Xiaomi;Huawei;Oppo;Vivo;Realme;Honor;Tecno;Infinix;Google;OnePlus,,false,true,Cap featured brands; keep allowUnbranded policy explicit,false
cmsg3xgb4002fuzdc9803rtxy,Dizüstü (Notebook),sifir-urun/elektronik/bilgisayar-ve-tablet/bilgisayar/dizustu,24,REVIEW,Apple;Samsung;Huawei;Casper;Diğer;Asus;Lenovo;HP;Dell;Acer;MSI;Monster,,false,false,Cap featured brands; keep allowUnbranded policy explicit,false
