categoryPath,brandName,brandSlug,featured,allowUnbranded,source,notes
Elektronik › Telefon ve Aksesuar › Cep Telefonu › Akıllı Telefon,Apple,apple,true,true,plan,seed later — plan only
Elektronik › Telefon ve Aksesuar › Cep Telefonu › Akıllı Telefon,Samsung,samsung,true,true,plan,seed later — plan only
Elektronik › Telefon ve Aksesuar › Cep Telefonu › Akıllı Telefon,Xiaomi,xiaomi,true,true,plan,seed later — plan only
Elektronik › Telefon ve Aksesuar › Cep Telefonu › Akıllı Telefon,Huawei,huawei,true,true,plan,seed later — plan only
Elektronik › Telefon ve Aksesuar › Cep Telefonu › Akıllı Telefon,Oppo,oppo,true,true,plan,seed later — plan only
Elektronik › Telefon ve Aksesuar › Cep Telefonu › Akıllı Telefon,Google,google,false,true,plan,seed later — plan only
Elektronik › Telefon ve Aksesuar › Cep Telefonu › Akıllı Telefon,OnePlus,oneplus,false,true,plan,seed later — plan only
Elektronik › Telefon ve Aksesuar › Cep Telefonu › Tuşlu Telefon,Apple,apple,true,true,plan,seed later — plan only
Elektronik › Telefon ve Aksesuar › Cep Telefonu › Tuşlu Telefon,Samsung,samsung,true,true,plan,seed later — plan only
Elektronik › Telefon ve Aksesuar › Cep Telefonu › Tuşlu Telefon,Xiaomi,xiaomi,true,true,plan,seed later — plan only
Elektronik › Telefon ve Aksesuar › Cep Telefonu › Tuşlu Telefon,Huawei,huawei,true,true,plan,seed later — plan only
Elektronik › Telefon ve Aksesuar › Cep Telefonu › Tuşlu Telefon,Oppo,oppo,true,true,plan,seed later — plan only
Elektronik › Telefon ve Aksesuar › Cep Telefonu › Tuşlu Telefon,Google,google,false,true,plan,seed later — plan only
Elektronik › Telefon ve Aksesuar › Cep Telefonu › Tuşlu Telefon,OnePlus,oneplus,false,true,plan,seed later — plan only
Elektronik › Telefon ve Aksesuar › Cep Telefonu › Katlanabilir Telefon,Apple,apple,true,true,plan,seed later — plan only
Elektronik › Telefon ve Aksesuar › Cep Telefonu › Katlanabilir Telefon,Samsung,samsung,true,true,plan,seed later — plan only
Elektronik › Telefon ve Aksesuar › Cep Telefonu › Katlanabilir Telefon,Xiaomi,xiaomi,true,true,plan,seed later — plan only
Elektronik › Telefon ve Aksesuar › Cep Telefonu › Katlanabilir Telefon,Huawei,huawei,true,true,plan,seed later — plan only
Elektronik › Telefon ve Aksesuar › Cep Telefonu › Katlanabilir Telefon,Oppo,oppo,true,true,plan,seed later — plan only
Elektronik › Telefon ve Aksesuar › Cep Telefonu › Katlanabilir Telefon,Google,google,false,true,plan,seed later — plan only
Elektronik › Telefon ve Aksesuar › Cep Telefonu › Katlanabilir Telefon,OnePlus,oneplus,false,true,plan,seed later — plan only
Elektronik › Telefon ve Aksesuar › Cep Telefonu › Outdoor Telefon,Apple,apple,true,true,plan,seed later — plan only
Elektronik › Telefon ve Aksesuar › Cep Telefonu › Outdoor Telefon,Samsung,samsung,true,true,plan,seed later — plan only
Elektronik › Telefon ve Aksesuar › Cep Telefonu › Outdoor Telefon,Xiaomi,xiaomi,true,true,plan,seed later — plan only
Elektronik › Telefon ve Aksesuar › Cep Telefonu › Outdoor Telefon,Huawei,huawei,true,true,plan,seed later — plan only
Elektronik › Telefon ve Aksesuar › Cep Telefonu › Outdoor Telefon,Oppo,oppo,true,true,plan,seed later — plan only
Elektronik › Telefon ve Aksesuar › Cep Telefonu › Outdoor Telefon,Google,google,false,true,plan,seed later — plan only
Elektronik › Telefon ve Aksesuar › Cep Telefonu › Outdoor Telefon,OnePlus,oneplus,false,true,plan,seed later — plan only
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Telefon Kılıfı,Apple,apple,true,true,plan,seed later — plan only
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Telefon Kılıfı,Samsung,samsung,true,true,plan,seed later — plan only
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Telefon Kılıfı,Xiaomi,xiaomi,true,true,plan,seed later — plan only
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Telefon Kılıfı,Huawei,huawei,true,true,plan,seed later — plan only
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Telefon Kılıfı,Oppo,oppo,true,true,plan,seed later — plan only
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Telefon Kılıfı,Google,google,false,true,plan,seed later — plan only
