categoryPath,zeroRootMode,secondHandRootMode,classicListingAllowed,catalogOfferAllowed,reason,notes
Elektronik › Telefon ve Aksesuar › Cep Telefonu › Akıllı Telefon,BOTH,LISTING_ONLY,true,true,heuristic leaf policy; zero=BOTH secondHand=LISTING_ONLY,
Elektronik › Telefon ve Aksesuar › Cep Telefonu › Tuşlu Telefon,BOTH,LISTING_ONLY,true,true,heuristic leaf policy; zero=BOTH secondHand=LISTING_ONLY,
Elektronik › Telefon ve Aksesuar › Cep Telefonu › Katlanabilir Telefon,CATALOG_ONLY,LISTING_ONLY,true,true,heuristic leaf policy; zero=CATALOG_ONLY secondHand=LISTING_ONLY,
Elektronik › Telefon ve Aksesuar › Cep Telefonu › Outdoor Telefon,BOTH,LISTING_ONLY,true,true,heuristic leaf policy; zero=BOTH secondHand=LISTING_ONLY,
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Telefon Kılıfı,BOTH,LISTING_ONLY,true,true,heuristic leaf policy; zero=BOTH secondHand=LISTING_ONLY,
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Ekran Koruyucu,BOTH,LISTING_ONLY,true,true,heuristic leaf policy; zero=BOTH secondHand=LISTING_ONLY,
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Şarj Adaptörü,BOTH,LISTING_ONLY,true,true,heuristic leaf policy; zero=BOTH secondHand=LISTING_ONLY,
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Şarj Kablosu,BOTH,LISTING_ONLY,true,true,heuristic leaf policy; zero=BOTH secondHand=LISTING_ONLY,
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Kablosuz Şarj Cihazı,BOTH,LISTING_ONLY,true,true,heuristic leaf policy; zero=BOTH secondHand=LISTING_ONLY,
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Powerbank,BOTH,LISTING_ONLY,true,true,heuristic leaf policy; zero=BOTH secondHand=LISTING_ONLY,
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Araç İçi Telefon Tutucu,BOTH,LISTING_ONLY,true,true,heuristic leaf policy; zero=BOTH secondHand=LISTING_ONLY,
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Masaüstü Telefon Standı,BOTH,LISTING_ONLY,true,true,heuristic leaf policy; zero=BOTH secondHand=LISTING_ONLY,
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Selfie Çubuğu,BOTH,LISTING_ONLY,true,true,heuristic leaf policy; zero=BOTH secondHand=LISTING_ONLY,
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Bluetooth Kulaklık,BOTH,LISTING_ONLY,true,true,heuristic leaf policy; zero=BOTH secondHand=LISTING_ONLY,
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Kablolu Kulaklık,BOTH,LISTING_ONLY,true,true,heuristic leaf policy; zero=BOTH secondHand=LISTING_ONLY,
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Telefon Yedek Parça,BOTH,LISTING_ONLY,true,true,heuristic leaf policy; zero=BOTH secondHand=LISTING_ONLY,
Elektronik › Telefon ve Aksesuar › Giyilebilir Teknoloji › Akıllı Saat,BOTH,LISTING_ONLY,true,true,heuristic leaf policy; zero=BOTH secondHand=LISTING_ONLY,
Elektronik › Telefon ve Aksesuar › Giyilebilir Teknoloji › Akıllı Bileklik,BOTH,LISTING_ONLY,true,true,heuristic leaf policy; zero=BOTH secondHand=LISTING_ONLY,
Elektronik › Telefon ve Aksesuar › Giyilebilir Teknoloji › Çocuk Akıllı Saati,BOTH,LISTING_ONLY,true,true,heuristic leaf policy; zero=BOTH secondHand=LISTING_ONLY,
