currentCategoryId,currentName,currentSlug,currentPath,currentParentId,currentRoot,targetName,targetSlug,targetPath,targetParentPath,action,canonicalTargetCategoryId,preserveId,redirectRequired,aliasRequired,splitGroup,mergeGroup,listingCount,productCount,sellerOfferCount,categoryBrandCount,categoryAttributeCount,categoryModelCount,riskLevel,notes
cmsg4wowy001vuzxwe59qnwfj,Elektronik,sifir-urun__elektronik,sifir-urun/elektronik,cms93j5l1001vuz3gboidp5m9,sifir,Elektronik,elektronik,Elektronik,,KEEP,cmsg4wowy001vuzxwe59qnwfj,true,false,false,,,0,0,0,0,0,0,LOW,
cmsg4wox6001xuzxwyd1lcls8,Telefon ve Aksesuar,sifir-urun__elektronik__telefon-ve-aksesuar,sifir-urun/elektronik/telefon-ve-aksesuar,cmsg4wowy001vuzxwe59qnwfj,sifir,Telefon ve Aksesuar,elektronik-telefon-ve-aksesuar,Elektronik › Telefon ve Aksesuar,Elektronik,KEEP,cmsg4wox6001xuzxwyd1lcls8,true,false,false,,,0,0,0,0,0,0,LOW,
,,,,,,Cep Telefonu,elektronik-telefon-ve-aksesuar-cep-telefonu,Elektronik › Telefon ve Aksesuar › Cep Telefonu,Elektronik › Telefon ve Aksesuar,CREATE_NEW,,false,false,false,,,0,0,0,0,0,0,MEDIUM,may receive records from split: split group: phones vs accessories by title/attrs
cmsg3xg0i000vuzdcq5lzaldx,Akıllı Telefon,sifir-urun-cep-telefonu__akilli-telefon,sifir-urun/elektronik/telefon-ve-aksesuar/cep-telefonu/akilli-telefon,cms93j5l8001xuz3gsasrgk49,sifir,Akıllı Telefon,elektronik-telefon-ve-aksesuar-cep-telefonu-akilli-telefon,Elektronik › Telefon ve Aksesuar › Cep Telefonu › Akıllı Telefon,Elektronik › Telefon ve Aksesuar › Cep Telefonu,MOVE,cmsg3xg0i000vuzdcq5lzaldx,true,true,true,,,4,3,7,30,7,58,CRITICAL,move from parent 'Cep Telefonu & Aksesuar' → 'Cep Telefonu'
cmsg3xg11000xuzdczy5pt1ie,Tuşlu Telefon,sifir-urun-cep-telefonu__tuslu-telefon,sifir-urun/elektronik/telefon-ve-aksesuar/cep-telefonu/tuslu-telefon,cms93j5l8001xuz3gsasrgk49,sifir,Tuşlu Telefon,elektronik-telefon-ve-aksesuar-cep-telefonu-tuslu-telefon,Elektronik › Telefon ve Aksesuar › Cep Telefonu › Tuşlu Telefon,Elektronik › Telefon ve Aksesuar › Cep Telefonu,MOVE,cmsg3xg11000xuzdczy5pt1ie,true,true,true,,,9,10,15,30,7,0,CRITICAL,move from parent 'Cep Telefonu & Aksesuar' → 'Cep Telefonu'
,,,,,,Katlanabilir Telefon,elektronik-telefon-ve-aksesuar-cep-telefonu-katlanabilir-telefon,Elektronik › Telefon ve Aksesuar › Cep Telefonu › Katlanabilir Telefon,Elektronik › Telefon ve Aksesuar › Cep Telefonu,CREATE_NEW,,false,false,false,,,0,0,0,0,0,0,MEDIUM,may receive records from split: split group: phones vs accessories by title/attrs
,,,,,,Outdoor Telefon,elektronik-telefon-ve-aksesuar-cep-telefonu-outdoor-telefon,Elektronik › Telefon ve Aksesuar › Cep Telefonu › Outdoor Telefon,Elektronik › Telefon ve Aksesuar › Cep Telefonu,CREATE_NEW,,false,false,false,,,0,0,0,0,0,0,MEDIUM,may receive records from split: split group: phones vs accessories by title/attrs
,,,,,,Telefon Aksesuarları,elektronik-telefon-ve-aksesuar-telefon-aksesuarlari,Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları,Elektronik › Telefon ve Aksesuar,CREATE_NEW,,false,false,false,,,0,0,0,0,0,0,MEDIUM,may receive records from split: split group: phones vs accessories by title/attrs
cmsg3xg34001duzdcb74zdgwf,Telefon Kılıfı,sifir-urun-cep-telefonu__telefon-kilifi,sifir-urun/elektronik/telefon-ve-aksesuar/cep-telefonu/telefon-kilifi,cms93j5l8001xuz3gsasrgk49,sifir,Telefon Kılıfı,elektronik-telefon-ve-aksesuar-telefon-aksesuarlari-telefon-kilifi,Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Telefon Kılıfı,Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları,MOVE,cmsg3xg34001duzdcb74zdgwf,true,true,true,,,0,0,0,30,7,0,LOW,move from parent 'Cep Telefonu & Aksesuar' → 'Telefon Aksesuarları'
cmsg3xg3e001fuzdctc7xfww9,Ekran Koruyucu,sifir-urun-cep-telefonu__ekran-koruyucu,sifir-urun/elektronik/telefon-ve-aksesuar/cep-telefonu/ekran-koruyucu,cms93j5l8001xuz3gsasrgk49,sifir,Ekran Koruyucu,elektronik-telefon-ve-aksesuar-telefon-aksesuarlari-ekran-koruyucu,Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Ekran Koruyucu,Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları,MOVE,cmsg3xg3e001fuzdctc7xfww9,true,true,true,,,0,0,0,30,7,0,LOW,move from parent 'Cep Telefonu & Aksesuar' → 'Telefon Aksesuarları'
