categoryPath,modelMode,reason,requiresSeedModels,priority,notes
Elektronik › Telefon ve Aksesuar › Cep Telefonu › Akıllı Telefon,OPTIONAL,optional model,false,2,
Elektronik › Telefon ve Aksesuar › Cep Telefonu › Tuşlu Telefon,OPTIONAL,optional model,false,2,
Elektronik › Telefon ve Aksesuar › Cep Telefonu › Katlanabilir Telefon,REQUIRED,identifiable commercial model,true,1,
Elektronik › Telefon ve Aksesuar › Cep Telefonu › Outdoor Telefon,OPTIONAL,optional model,false,2,
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Telefon Kılıfı,OPTIONAL,optional model,false,2,
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Ekran Koruyucu,OPTIONAL,optional model,false,2,
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Şarj Adaptörü,OPTIONAL,optional model,false,2,
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Şarj Kablosu,DISABLED,apparel/accessory style,false,3,
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Kablosuz Şarj Cihazı,DISABLED,apparel/accessory style,false,3,
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Powerbank,OPTIONAL,optional model,false,2,
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Araç İçi Telefon Tutucu,OPTIONAL,optional model,false,2,
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Masaüstü Telefon Standı,OPTIONAL,optional model,false,2,
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Selfie Çubuğu,OPTIONAL,optional model,false,2,
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Bluetooth Kulaklık,OPTIONAL,optional model,false,2,
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Kablolu Kulaklık,DISABLED,apparel/accessory style,false,3,
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Telefon Yedek Parça,OPTIONAL,optional model,false,2,
Elektronik › Telefon ve Aksesuar › Giyilebilir Teknoloji › Akıllı Saat,OPTIONAL,optional model,false,2,
Elektronik › Telefon ve Aksesuar › Giyilebilir Teknoloji › Akıllı Bileklik,OPTIONAL,optional model,false,2,
Elektronik › Telefon ve Aksesuar › Giyilebilir Teknoloji › Çocuk Akıllı Saati,OPTIONAL,optional model,false,2,
Elektronik › Telefon ve Aksesuar › Giyilebilir Teknoloji › Akıllı Yüzük,OPTIONAL,optional model,false,2,
Elektronik › Telefon ve Aksesuar › Giyilebilir Teknoloji › GPS Takip Cihazı,OPTIONAL,optional model,false,2,
Elektronik › Telefon ve Aksesuar › İletişim Cihazları › Telsiz,OPTIONAL,optional model,false,2,
Elektronik › Telefon ve Aksesuar › İletişim Cihazları › Sabit Telefon,OPTIONAL,optional model,false,2,
Elektronik › Telefon ve Aksesuar › İletişim Cihazları › IP Telefon,OPTIONAL,optional model,false,2,
Elektronik › Telefon ve Aksesuar › İletişim Cihazları › Uydu Telefonu,OPTIONAL,optional model,false,2,
Elektronik › Telefon ve Aksesuar › İletişim Cihazları › Çağrı Cihazı,OPTIONAL,optional model,false,2,
Elektronik › Bilgisayar ve Tablet › Bilgisayar › Dizüstü Bilgisayar,OPTIONAL,optional model,false,2,
Elektronik › Bilgisayar ve Tablet › Bilgisayar › Masaüstü Bilgisayar,OPTIONAL,optional model,false,2,
Elektronik › Bilgisayar ve Tablet › Bilgisayar › Mini PC,OPTIONAL,optional model,false,2,
Elektronik › Bilgisayar ve Tablet › Bilgisayar › All-in-One Bilgisayar,OPTIONAL,optional model,false,2,
Elektronik › Bilgisayar ve Tablet › Bilgisayar › İş İstasyonu,OPTIONAL,optional model,false,2,
Elektronik › Bilgisayar ve Tablet › Bilgisayar › Oyuncu Bilgisayarı,OPTIONAL,optional model,false,2,
Elektronik › Bilgisayar ve Tablet › Tablet ve E-Kitap › Tablet,REQUIRED,identifiable commercial model,true,1,
Elektronik › Bilgisayar ve Tablet › Tablet ve E-Kitap › Grafik Tablet,REQUIRED,identifiable commercial model,true,1,
Elektronik › Bilgisayar ve Tablet › Tablet ve E-Kitap › E-Kitap Okuyucu,OPTIONAL,optional model,false,2,
Elektronik › Bilgisayar ve Tablet › Tablet ve E-Kitap › Çocuk Tableti,REQUIRED,identifiable commercial model,true,1,
Elektronik › Bilgisayar ve Tablet › Bilgisayar Bileşenleri › İşlemci,OPTIONAL,optional model,false,2,
Elektronik › Bilgisayar ve Tablet › Bilgisayar Bileşenleri › Anakart,OPTIONAL,optional model,false,2,
Elektronik › Bilgisayar ve Tablet › Bilgisayar Bileşenleri › Ekran Kartı,OPTIONAL,optional model,false,2,
