categoryPath,variantAttributeSlug,requiredForVariant,sortOrder,duplicateKeyRule,notes
Elektronik › Telefon ve Aksesuar › Cep Telefonu › Akıllı Telefon,renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
Elektronik › Telefon ve Aksesuar › Cep Telefonu › Tuşlu Telefon,renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
Elektronik › Telefon ve Aksesuar › Cep Telefonu › Katlanabilir Telefon,depolama,true,1,attributesHash sorted option ids,variant key with renk
Elektronik › Telefon ve Aksesuar › Cep Telefonu › Katlanabilir Telefon,ram,false,2,attributesHash sorted option ids,
Elektronik › Telefon ve Aksesuar › Cep Telefonu › Katlanabilir Telefon,renk,false,3,attributesHash sorted option ids,
Elektronik › Telefon ve Aksesuar › Cep Telefonu › Katlanabilir Telefon,ekran-boyutu,false,4,attributesHash sorted option ids,
Elektronik › Telefon ve Aksesuar › Cep Telefonu › Katlanabilir Telefon,isletim-sistemi,false,5,attributesHash sorted option ids,
Elektronik › Telefon ve Aksesuar › Cep Telefonu › Katlanabilir Telefon,sim-tipi,false,6,attributesHash sorted option ids,
Elektronik › Telefon ve Aksesuar › Cep Telefonu › Katlanabilir Telefon,5g,false,7,attributesHash sorted option ids,
Elektronik › Telefon ve Aksesuar › Cep Telefonu › Outdoor Telefon,depolama,true,1,attributesHash sorted option ids,variant key with renk
Elektronik › Telefon ve Aksesuar › Cep Telefonu › Outdoor Telefon,ram,false,2,attributesHash sorted option ids,
Elektronik › Telefon ve Aksesuar › Cep Telefonu › Outdoor Telefon,renk,false,3,attributesHash sorted option ids,
Elektronik › Telefon ve Aksesuar › Cep Telefonu › Outdoor Telefon,ekran-boyutu,false,4,attributesHash sorted option ids,
Elektronik › Telefon ve Aksesuar › Cep Telefonu › Outdoor Telefon,isletim-sistemi,false,5,attributesHash sorted option ids,
Elektronik › Telefon ve Aksesuar › Cep Telefonu › Outdoor Telefon,sim-tipi,false,6,attributesHash sorted option ids,
Elektronik › Telefon ve Aksesuar › Cep Telefonu › Outdoor Telefon,5g,false,7,attributesHash sorted option ids,
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Telefon Kılıfı,renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Ekran Koruyucu,renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Şarj Adaptörü,renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Şarj Kablosu,renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Kablosuz Şarj Cihazı,renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Powerbank,renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Araç İçi Telefon Tutucu,renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Masaüstü Telefon Standı,renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Selfie Çubuğu,renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Bluetooth Kulaklık,renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Kablolu Kulaklık,renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Telefon Yedek Parça,renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
Elektronik › Telefon ve Aksesuar › Giyilebilir Teknoloji › Akıllı Saat,renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
Elektronik › Telefon ve Aksesuar › Giyilebilir Teknoloji › Akıllı Bileklik,renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
Elektronik › Telefon ve Aksesuar › Giyilebilir Teknoloji › Çocuk Akıllı Saati,renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
Elektronik › Telefon ve Aksesuar › Giyilebilir Teknoloji › Akıllı Yüzük,renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
Elektronik › Telefon ve Aksesuar › Giyilebilir Teknoloji › GPS Takip Cihazı,renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
Elektronik › Telefon ve Aksesuar › İletişim Cihazları › Telsiz,renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
Elektronik › Telefon ve Aksesuar › İletişim Cihazları › Sabit Telefon,renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
Elektronik › Telefon ve Aksesuar › İletişim Cihazları › IP Telefon,renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
Elektronik › Telefon ve Aksesuar › İletişim Cihazları › Uydu Telefonu,renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
Elektronik › Telefon ve Aksesuar › İletişim Cihazları › Çağrı Cihazı,renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
Elektronik › Bilgisayar ve Tablet › Bilgisayar › Dizüstü Bilgisayar,renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
Elektronik › Bilgisayar ve Tablet › Bilgisayar › Masaüstü Bilgisayar,renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
Elektronik › Bilgisayar ve Tablet › Bilgisayar › Mini PC,renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
Elektronik › Bilgisayar ve Tablet › Bilgisayar › All-in-One Bilgisayar,renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
Elektronik › Bilgisayar ve Tablet › Bilgisayar › İş İstasyonu,renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
Elektronik › Bilgisayar ve Tablet › Bilgisayar › Oyuncu Bilgisayarı,renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
Elektronik › Bilgisayar ve Tablet › Tablet ve E-Kitap › Tablet,renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
Elektronik › Bilgisayar ve Tablet › Tablet ve E-Kitap › Grafik Tablet,renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
Elektronik › Bilgisayar ve Tablet › Tablet ve E-Kitap › E-Kitap Okuyucu,renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
Elektronik › Bilgisayar ve Tablet › Tablet ve E-Kitap › Çocuk Tableti,renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
Elektronik › Bilgisayar ve Tablet › Bilgisayar Bileşenleri › İşlemci,renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
Elektronik › Bilgisayar ve Tablet › Bilgisayar Bileşenleri › Anakart,renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
Elektronik › Bilgisayar ve Tablet › Bilgisayar Bileşenleri › Ekran Kartı,renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
Elektronik › Bilgisayar ve Tablet › Bilgisayar Bileşenleri › RAM,renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
Elektronik › Bilgisayar ve Tablet › Bilgisayar Bileşenleri › SSD,renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
Elektronik › Bilgisayar ve Tablet › Bilgisayar Bileşenleri › Hard Disk,renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
Elektronik › Bilgisayar ve Tablet › Bilgisayar Bileşenleri › Bilgisayar Kasası,renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
Elektronik › Bilgisayar ve Tablet › Bilgisayar Bileşenleri › Güç Kaynağı,renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
Elektronik › Bilgisayar ve Tablet › Bilgisayar Bileşenleri › İşlemci Soğutucu,renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
Elektronik › Bilgisayar ve Tablet › Bilgisayar Bileşenleri › Kasa Fanı,renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
Elektronik › Bilgisayar ve Tablet › Bilgisayar Bileşenleri › Optik Sürücü,renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
Elektronik › Bilgisayar ve Tablet › Bilgisayar Bileşenleri › Capture Card,renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
Elektronik › Bilgisayar ve Tablet › Bilgisayar Çevre Birimleri › Monitör,renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
Elektronik › Bilgisayar ve Tablet › Bilgisayar Çevre Birimleri › Klavye,renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
Elektronik › Bilgisayar ve Tablet › Bilgisayar Çevre Birimleri › Mouse,renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
Elektronik › Bilgisayar ve Tablet › Bilgisayar Çevre Birimleri › Klavye-Mouse Seti,renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
Elektronik › Bilgisayar ve Tablet › Bilgisayar Çevre Birimleri › Webcam,renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
Elektronik › Bilgisayar ve Tablet › Bilgisayar Çevre Birimleri › Mikrofon,renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
Elektronik › Bilgisayar ve Tablet › Bilgisayar Çevre Birimleri › Hoparlör,renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
Elektronik › Bilgisayar ve Tablet › Bilgisayar Çevre Birimleri › Kulaklık,renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
Elektronik › Bilgisayar ve Tablet › Bilgisayar Çevre Birimleri › Yazıcı,renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
Elektronik › Bilgisayar ve Tablet › Bilgisayar Çevre Birimleri › Tarayıcı,renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
Elektronik › Bilgisayar ve Tablet › Bilgisayar Çevre Birimleri › Projeksiyon Cihazı,renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
Elektronik › Bilgisayar ve Tablet › Ağ ve İnternet › Modem,renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
Elektronik › Bilgisayar ve Tablet › Ağ ve İnternet › Router,renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
Elektronik › Bilgisayar ve Tablet › Ağ ve İnternet › Access Point,renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
Elektronik › Bilgisayar ve Tablet › Ağ ve İnternet › Mesh Wi-Fi Sistemi,renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
Elektronik › Bilgisayar ve Tablet › Ağ ve İnternet › Switch,renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
Elektronik › Bilgisayar ve Tablet › Ağ ve İnternet › Range Extender,renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
Elektronik › Bilgisayar ve Tablet › Ağ ve İnternet › Powerline Adaptör,renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
Elektronik › Bilgisayar ve Tablet › Ağ ve İnternet › Ağ Kartı,renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
Elektronik › Bilgisayar ve Tablet › Ağ ve İnternet › Anten,renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
Elektronik › Bilgisayar ve Tablet › Ağ ve İnternet › Ethernet Kablosu,renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
Elektronik › Bilgisayar ve Tablet › Depolama ve Bellek › USB Bellek,renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
Elektronik › Bilgisayar ve Tablet › Depolama ve Bellek › Hafıza Kartı,renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
Elektronik › Bilgisayar ve Tablet › Depolama ve Bellek › Harici SSD,renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
Elektronik › Bilgisayar ve Tablet › Depolama ve Bellek › Harici Hard Disk,renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
Elektronik › Bilgisayar ve Tablet › Depolama ve Bellek › NAS,renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
Elektronik › Bilgisayar ve Tablet › Depolama ve Bellek › Kart Okuyucu,renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
Elektronik › Bilgisayar ve Tablet › Bilgisayar Aksesuarları › Laptop Çantası,renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
Elektronik › Bilgisayar ve Tablet › Bilgisayar Aksesuarları › Laptop Standı,renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
Elektronik › Bilgisayar ve Tablet › Bilgisayar Aksesuarları › Soğutucu,renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
Elektronik › Bilgisayar ve Tablet › Bilgisayar Aksesuarları › Docking Station,renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
Elektronik › Bilgisayar ve Tablet › Bilgisayar Aksesuarları › USB Hub,renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
Elektronik › Bilgisayar ve Tablet › Bilgisayar Aksesuarları › Adaptör,renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
Elektronik › Bilgisayar ve Tablet › Bilgisayar Aksesuarları › Kablo ve Dönüştürücü,renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
Elektronik › Bilgisayar ve Tablet › Bilgisayar Aksesuarları › Mouse Pad,renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
Elektronik › Bilgisayar ve Tablet › Bilgisayar Aksesuarları › Monitör Kolu,renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
Elektronik › Bilgisayar ve Tablet › Bilgisayar Aksesuarları › KVM Switch,renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
"Elektronik › Televizyon, Görüntü ve Ses › Televizyon › LED Televizyon",renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
"Elektronik › Televizyon, Görüntü ve Ses › Televizyon › QLED Televizyon",renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
"Elektronik › Televizyon, Görüntü ve Ses › Televizyon › OLED Televizyon",renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
"Elektronik › Televizyon, Görüntü ve Ses › Televizyon › Mini LED Televizyon",renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
"Elektronik › Televizyon, Görüntü ve Ses › Televizyon › Taşınabilir Televizyon",renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
"Elektronik › Televizyon, Görüntü ve Ses › TV Aksesuarları › TV Askı Aparatı",renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
"Elektronik › Televizyon, Görüntü ve Ses › TV Aksesuarları › TV Kumandası",renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
"Elektronik › Televizyon, Görüntü ve Ses › TV Aksesuarları › Uydu Alıcısı",renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
"Elektronik › Televizyon, Görüntü ve Ses › TV Aksesuarları › Android TV Box",renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
"Elektronik › Televizyon, Görüntü ve Ses › TV Aksesuarları › Apple TV ve Medya Oynatıcı",renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
"Elektronik › Televizyon, Görüntü ve Ses › TV Aksesuarları › HDMI Kablo",renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
"Elektronik › Televizyon, Görüntü ve Ses › TV Aksesuarları › TV Anteni",renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
"Elektronik › Televizyon, Görüntü ve Ses › Ses Sistemleri › Soundbar",renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
"Elektronik › Televizyon, Görüntü ve Ses › Ses Sistemleri › Ev Sinema Sistemi",renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
"Elektronik › Televizyon, Görüntü ve Ses › Ses Sistemleri › Hi-Fi Sistem",renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
"Elektronik › Televizyon, Görüntü ve Ses › Ses Sistemleri › Bluetooth Hoparlör",renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
"Elektronik › Televizyon, Görüntü ve Ses › Ses Sistemleri › Taşınabilir Hoparlör",renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
"Elektronik › Televizyon, Görüntü ve Ses › Ses Sistemleri › Amfi",renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
"Elektronik › Televizyon, Görüntü ve Ses › Ses Sistemleri › Subwoofer",renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
"Elektronik › Televizyon, Görüntü ve Ses › Ses Sistemleri › Hoparlör Seti",renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
"Elektronik › Televizyon, Görüntü ve Ses › Kulaklık › TWS Kulaklık",renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
"Elektronik › Televizyon, Görüntü ve Ses › Kulaklık › Kulak Üstü Kulaklık",renk,false,1,attributesHash sorted option ids,generic plan — refine per leaf in FAZ A
