categoryName,template,attributeName,attributeSlug,type,required,filterable,searchable,comparisonVisible,isVariant,optionValues,unit,sortOrder,notes
Çamaşır Makinesi,WHITE_GOODS,Enerji Sınıfı,enerji-sinifi,SINGLE_SELECT,true,true,true,true,false,A;B;C;D;E;F;G,,1,REMOVE fridge attrs hacim/kapi-tipi/no-frost if present
Çamaşır Makinesi,WHITE_GOODS,Renk,renk,COLOR,false,true,true,true,false,Beyaz;Gri;Siyah;Inox;Diğer,,2,REMOVE fridge attrs hacim/kapi-tipi/no-frost if present
Çamaşır Makinesi,WHITE_GOODS,Ölçüler,olculer,TEXT,false,false,false,false,false,,,3,REMOVE fridge attrs hacim/kapi-tipi/no-frost if present
Çamaşır Makinesi,WHITE_GOODS,Garanti,garanti,SINGLE_SELECT,false,false,false,false,false,12 Ay;24 Ay;36 Ay,,4,REMOVE fridge attrs hacim/kapi-tipi/no-frost if present
Çamaşır Makinesi,WHITE_GOODS,Yıkama Kapasitesi,yikama-kapasitesi,SINGLE_SELECT,true,true,true,true,false,5 kg;6 kg;7 kg;8 kg;9 kg;10 kg;12 kg,kg,5,REMOVE fridge attrs hacim/kapi-tipi/no-frost if present
Çamaşır Makinesi,WHITE_GOODS,Devir,devir,SINGLE_SELECT,false,true,true,true,false,1000;1200;1400;1600,,6,REMOVE fridge attrs hacim/kapi-tipi/no-frost if present
Çamaşır Makinesi,WHITE_GOODS,Kurutmalı,kurutmali,BOOLEAN,false,true,true,true,false,,,7,REMOVE fridge attrs hacim/kapi-tipi/no-frost if present
Çamaşır Makinesi,WHITE_GOODS,Ses Seviyesi,ses-seviyesi,NUMBER,false,false,true,true,false,,dB,8,REMOVE fridge attrs hacim/kapi-tipi/no-frost if present
Buzdolabı,WHITE_GOODS,Enerji Sınıfı,enerji-sinifi,SINGLE_SELECT,true,true,true,true,false,A;B;C;D;E;F;G,,1,
Buzdolabı,WHITE_GOODS,Renk,renk,COLOR,false,true,true,true,false,Beyaz;Gri;Siyah;Inox;Diğer,,2,
Buzdolabı,WHITE_GOODS,Ölçüler,olculer,TEXT,false,false,false,false,false,,,3,
Buzdolabı,WHITE_GOODS,Garanti,garanti,SINGLE_SELECT,false,false,false,false,false,12 Ay;24 Ay;36 Ay,,4,
Buzdolabı,WHITE_GOODS,Hacim,hacim,SINGLE_SELECT,true,true,true,true,false,200 L;250 L;300 L;350 L;400 L;500 L+,L,5,
Buzdolabı,WHITE_GOODS,Kapı Tipi,kapi-tipi,SINGLE_SELECT,true,true,true,true,false,Tek Kapı;Çift Kapı;French Door;Side by Side,,6,
Buzdolabı,WHITE_GOODS,No-Frost,no-frost,BOOLEAN,false,true,true,true,false,,,7,
