categoryPath,name,depth,siblingCount,duplicatePaths,issues,recommendAction
Elektronik › Telefon ve Aksesuar › Cep Telefonu › Akıllı Telefon,Akıllı Telefon,3,4,,ok,KEEP
Elektronik › Telefon ve Aksesuar › Cep Telefonu › Tuşlu Telefon,Tuşlu Telefon,3,4,,ok,KEEP
Elektronik › Telefon ve Aksesuar › Cep Telefonu › Katlanabilir Telefon,Katlanabilir Telefon,3,4,,ok,KEEP
Elektronik › Telefon ve Aksesuar › Cep Telefonu › Outdoor Telefon,Outdoor Telefon,3,4,,ok,KEEP
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Telefon Kılıfı,Telefon Kılıfı,3,12,,micro_dense_sibling,MICRO_REVIEW
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Ekran Koruyucu,Ekran Koruyucu,3,12,,micro_dense_sibling,MICRO_REVIEW
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Şarj Adaptörü,Şarj Adaptörü,3,12,,micro_dense_sibling,MICRO_REVIEW
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Şarj Kablosu,Şarj Kablosu,3,12,,micro_dense_sibling,MICRO_REVIEW
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Kablosuz Şarj Cihazı,Kablosuz Şarj Cihazı,3,12,,micro_dense_sibling,MICRO_REVIEW
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Powerbank,Powerbank,3,12,,micro_dense_sibling,MICRO_REVIEW
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Araç İçi Telefon Tutucu,Araç İçi Telefon Tutucu,3,12,,micro_dense_sibling,MICRO_REVIEW
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Masaüstü Telefon Standı,Masaüstü Telefon Standı,3,12,,micro_dense_sibling,MICRO_REVIEW
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Selfie Çubuğu,Selfie Çubuğu,3,12,,micro_dense_sibling,MICRO_REVIEW
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Bluetooth Kulaklık,Bluetooth Kulaklık,3,12,,micro_dense_sibling,MICRO_REVIEW
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Kablolu Kulaklık,Kablolu Kulaklık,3,12,,micro_dense_sibling,MICRO_REVIEW
Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Telefon Yedek Parça,Telefon Yedek Parça,3,12,,micro_dense_sibling,MICRO_REVIEW
Elektronik › Telefon ve Aksesuar › Giyilebilir Teknoloji › Akıllı Saat,Akıllı Saat,3,5,,ok,KEEP
Elektronik › Telefon ve Aksesuar › Giyilebilir Teknoloji › Akıllı Bileklik,Akıllı Bileklik,3,5,,ok,KEEP
Elektronik › Telefon ve Aksesuar › Giyilebilir Teknoloji › Çocuk Akıllı Saati,Çocuk Akıllı Saati,3,5,,ok,KEEP
