categoryId,currentName,currentPath,originalRevisedAction,finalDecision,targetPath,preserveId,commerceMode,modelMode,attributesNeeded,listingCount,productCount,sellerOfferCount,childCount,reason,reviewerRequired,riskLevel
cms93j5l1001vuz3gboidp5m9,Sıfır,sifir-urun,KEEP,KEEP,,true,,,,4,0,0,24,System root Sıfır — KEEP forever,false,HIGH
cmsg3xg18000zuzdct7y3h84l,Akıllı Saat & Bileklik,sifir-urun/elektronik/telefon-ve-aksesuar/cep-telefonu/akilli-saat,RENAME,RENAME,Elektronik › Telefon ve Aksesuar › Giyilebilir Teknoloji › Akıllı Saat,true,,,,0,0,0,0,Rename preserveId → Elektronik › Telefon ve Aksesuar › Giyilebilir Teknoloji › Akıllı Saat,false,HIGH
cmsg3xg1g0011uzdcfo9uiwzh,Kulaklık & Bluetooth,sifir-urun/elektronik/telefon-ve-aksesuar/cep-telefonu/kulaklik,RENAME,RENAME,Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Bluetooth Kulaklık,true,,,,0,0,0,0,Rename preserveId → Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Bluetooth Kulaklık,false,HIGH
cmsg3xg3m001huzdc7fdghxgl,Şarj Cihazı,sifir-urun/elektronik/telefon-ve-aksesuar/cep-telefonu/sarj-cihazi,MANUAL_REVIEW,RENAME,Elektronik › Telefon ve Aksesuar › Telefon Aksesuarları › Şarj Adaptörü,true,,,,0,0,0,0,Şarj Cihazı → Şarj Adaptörü (Powerbank ayrı),false,MEDIUM
cmsg3xgb4002fuzdc9803rtxy,Dizüstü (Notebook),sifir-urun/elektronik/bilgisayar-ve-tablet/bilgisayar/dizustu,MOVE,MOVE,Elektronik › Bilgisayar ve Tablet › Bilgisayar › Dizüstü Bilgisayar,true,,,,0,0,0,0,Move preserveId → Elektronik › Bilgisayar ve Tablet › Bilgisayar › Dizüstü Bilgisayar,false,HIGH
cms93j5p80031uz3g0ifpzc1a,Müzik,sifir-urun/sifir-urun-muzik,MOVE,MOVE,Hobi ve Oyun,true,,,,0,0,0,8,Move preserveId → Hobi ve Oyun,false,MEDIUM
cms93j5pg0033uz3gj3ie66g7,Ofis & Kırtasiye,sifir-urun/sifir-urun-ofis-kirtasiye,RENAME,RENAME,"Kitap, Kırtasiye ve Ofis",true,,,,1,0,0,4,"Rename preserveId → Kitap, Kırtasiye ve Ofis",true,HIGH
cms93j5pn0035uz3guja0tfco,Antika & Koleksiyon,sifir-urun/sifir-urun-antika-koleksiyon,KEEP,KEEP,,true,,,,0,0,0,6,Active children / structural group still needed — KEEP until children remapped,true,HIGH
cms93j5q50039uz3gnhdqjrvs,Yiyecek & İçecek,sifir-urun/sifir-urun-yiyecek-icecek,ADD_TO_TARGET_TREE,ADD_TO_TARGET_TREE,Market ve Gıda › Yiyecek ve İçecek,true,NEW_PREFERRED,ATTRIBUTE_ONLY,ürün tipi;ağırlık;son kullanma;marka(opsiyonel),0,0,0,4,Kapsam: Market ve Gıda ana kategorisi olarak hedef MD'ye eklenmeli (şimdi eksik),true,MEDIUM
cmsdkecae003huzyc6uys6m47,İş Makineleri,sifir-urun/sifir-urun-is-makinesi,RENAME,RENAME,Endüstriyel ve Ticari Ürünler,true,,,,0,0,0,13,Rename preserveId → Endüstriyel ve Ticari Ürünler,false,HIGH
cmsdkecak003juzycjc0pp98j,Tarım Makineleri,sifir-urun/sifir-urun-tarim-makinesi,RENAME,RENAME,Endüstriyel ve Ticari Ürünler,true,,,,0,0,0,6,Rename preserveId → Endüstriyel ve Ticari Ürünler,false,HIGH
cms93j5ma0029uz3gdtgnknvu,Ev Elektroniği,sifir-urun/sifir-urun-ev-elektronigi,MERGE,MERGE,Elektronik,false,,,,1,0,0,5,Merge into Elektronik — reparent children first,true,HIGH
cms93j5nj002luz3g1ovcvwie,"Saat, Takı & Mücevher",sifir-urun/sifir-urun-saat-taki,ADD_TO_TARGET_TREE,ADD_TO_TARGET_TREE,Moda › Saat ve Takı,true,BOTH,BRAND_MODEL,cinsiyet;malzeme;renk;saat tipi,0,0,0,7,Moda altında Saat ve Takı ara kategori — ADD (akıllı saat Elektronik'te kalır),true,MEDIUM
cms93j5nq002nuz3g1h9mrras,Kişisel Bakım & Kozmetik,sifir-urun/sifir-urun-kisisel-bakim,RENAME,RENAME,Kozmetik ve Kişisel Bakım,true,,,,0,0,0,7,Rename preserveId → Kozmetik ve Kişisel Bakım,false,HIGH
cms93j5ny002puz3ghofscas0,Anne & Bebek,sifir-urun/sifir-urun-anne-bebek,MOVE,MOVE,"Anne, Bebek ve Çocuk",true,,,,0,0,0,8,"Move preserveId → Anne, Bebek ve Çocuk",false,HIGH
cms93j5oc002tuz3gqj1lq1rr,Bahçe & Yapı Market,sifir-urun/sifir-urun-bahce-yapi-market,RENAME,RENAME,Bahçe ve Yapı,true,,,,0,0,0,9,Rename preserveId → Bahçe ve Yapı,false,HIGH
cms93j5or002xuz3gee4atdma,Hobi & Oyuncak,sifir-urun/sifir-urun-hobi-oyuncak,RENAME,RENAME,Hobi ve Oyun,true,,,,1,0,0,8,Rename preserveId → Hobi ve Oyun,true,HIGH
cms93j5oz002zuz3gnhm3q5gn,"Kitap, Dergi & Film",sifir-urun/sifir-urun-kitap-dergi-film,RENAME,RENAME,"Kitap, Kırtasiye ve Ofis",true,,,,1,0,0,5,"Rename preserveId → Kitap, Kırtasiye ve Ofis",true,HIGH
cmsdkecar003luzyc7d1wqrb7,Sanayi Makineleri,sifir-urun/sifir-urun-sanayi-makinesi,RENAME,RENAME,Endüstriyel ve Ticari Ürünler,true,,,,0,0,0,6,Rename preserveId → Endüstriyel ve Ticari Ürünler,false,HIGH
cms93j5qc003buz3g50apc5vu,Diğer Her Şey,sifir-urun/sifir-urun-diger-alisveris,MANUAL_REVIEW,KEEP,,true,BOTH,ATTRIBUTE_ONLY,,0,0,0,1,Catch-all policy bucket — KEEP as POLICY_ONLY until listings drained,true,HIGH
cmsg3xh91008fuzdc774prz92,Fotoğraf Makinesi,sifir-urun/elektronik/fotograf-ve-kamera/fotograf-kamera/fotograf-makinesi,MANUAL_REVIEW,RENAME,"Elektronik › Televizyon, Görüntü ve Ses › Fotoğraf ve Video › Dijital Fotoğraf Makinesi",true,,,,0,0,0,0,Alias/rename to digital camera leaf,false,MEDIUM
cmsg3xh9u008nuzdcn9mpo67o,Tripod & Aksesuar,sifir-urun/elektronik/fotograf-ve-kamera/fotograf-kamera/tripod-aksesuar,SPLIT,SPLIT,,false,,,,0,0,0,0,Compound — see split rules; no auto archive,true,HIGH
cmsg3xh5d007luzdc8wcf168q,Nem Alma & Hava Temizleyici,sifir-urun/sifir-urun-ev-elektronigi/nem-alici,MANUAL_REVIEW,SPLIT,Ev Aletleri › Küçük Ev Aletleri › Hava Kalitesi › Nem Alma Cihazı | Ev Aletleri › Küçük Ev Aletleri › Hava Kalitesi › Hava Temizleyici,true,,,,0,0,0,0,Compound hava — split,true,MEDIUM
cmsg3xh5j007nuzdcxy5fxy14,Dikiş & Ütü Makinesi,sifir-urun/sifir-urun-ev-elektronigi/utu-makinesi,MANUAL_REVIEW,SPLIT,Ev Aletleri › Küçük Ev Aletleri › Ütü ve Dikiş › Ütü | … › Dikiş Makinesi,true,,,,0,0,0,0,Compound ütü/dikiş,true,MEDIUM
cmsg3xh5t007puzdcry188nlg,Su Arıtma,sifir-urun/sifir-urun-ev-elektronigi/su-aritma,RENAME,RENAME,Mutfak ve Sofra › Su Arıtma,true,,,,0,0,0,0,Rename preserveId → Mutfak ve Sofra › Su Arıtma,false,HIGH
