kind,brand,series,category,action,exists,canonicalPath,reason
FILL_SERIES,daewoo,musso,arac/arazi-suv-pickup,,,,
FILL_SERIES,daewoo,korando,arac/arazi-suv-pickup,,,,
FILL_SERIES,santana,anibal,arac/arazi-suv-pickup,,,,
FILL_SERIES,santana,ps-10,arac/arazi-suv-pickup,,,,
HIDE_BRAND,abush,,arac/motosiklet,,,,
FILL_SERIES,aeon,cobra-320,arac/motosiklet,,,,
FILL_SERIES,aeon,3d-350,arac/motosiklet,,,,
FILL_SERIES,aeon,elite-350i,arac/motosiklet,,,,
HIDE_BRAND,ariic,,arac/motosiklet,,,,
HIDE_BRAND,barossa,,arac/motosiklet,,,,
HIDE_BRAND,belderia,,arac/motosiklet,,,,
HIDE_BRAND,better,,arac/motosiklet,,,,
HIDE_BRAND,bianchi,,arac/motosiklet,,,,
HIDE_BRAND,boom,,arac/motosiklet,,,,
HIDE_BRAND,borelli-ledow,,arac/motosiklet,,,,
FILL_SERIES,bsa,gold-star-650,arac/motosiklet,,,,
HIDE_BRAND,bumoto-jinling,,arac/motosiklet,,,,
HIDE_BRAND,cheeta,,arac/motosiklet,,,,
HIDE_BRAND,cosmopolitan,,arac/motosiklet,,,,
HIDE_BRAND,crn,,arac/motosiklet,,,,
HIDE_BRAND,csn-motor,,arac/motosiklet,,,,
HIDE_BRAND,celik-motor,,arac/motosiklet,,,,
FILL_SERIES,dayun,dy125,arac/motosiklet,,,,
FILL_SERIES,dayun,dy150,arac/motosiklet,,,,
HIDE_BRAND,delta-motorcycle,,arac/motosiklet,,,,
HIDE_BRAND,dofern,,arac/motosiklet,,,,
HIDE_BRAND,dorado,,arac/motosiklet,,,,
HIDE_BRAND,enbest,,arac/motosiklet,,,,
HIDE_BRAND,fcm,,arac/motosiklet,,,,
HIDE_BRAND,fosti,,arac/motosiklet,,,,
FILL_SERIES,italjet,dragster-125,arac/motosiklet,,,,
FILL_SERIES,italjet,dragster-200,arac/motosiklet,,,,
FILL_SERIES,jawa,42,arac/motosiklet,,,,
FILL_SERIES,jawa,42-bobber,arac/motosiklet,,,,
FILL_SERIES,jawa,350,arac/motosiklet,,,,
FILL_SERIES,jialing,jh125,arac/motosiklet,,,,
FILL_SERIES,jialing,jh150,arac/motosiklet,,,,
FILL_SERIES,mash,seventy-five-125,arac/motosiklet,,,,
FILL_SERIES,mash,cafe-racer-125,arac/motosiklet,,,,
FILL_SERIES,mash,dirt-track-650,arac/motosiklet,,,,
HIDE_BRAND,meka,,arac/motosiklet,,,,
FILL_SERIES,motron,arena-50,arac/motosiklet,,,,
FILL_SERIES,motron,contender-125,arac/motosiklet,,,,
FILL_SERIES,motron,x-force-125,arac/motosiklet,,,,
FILL_SERIES,mz,rt-125,arac/motosiklet,,,,
FILL_SERIES,mz,1000-s,arac/motosiklet,,,,
HIDE_BRAND,skyjet,,arac/motosiklet,,,,
MANUAL,Cupra,Formentor,,KEEP_ARAZI_ONLY,,arac/arazi-suv-pickup,SUV/crossover — never duplicate under Otomobil
MANUAL,MG,HS,,KEEP_ARAZI_ONLY,,arac/arazi-suv-pickup,Crossover/SUV
MANUAL,MG,ZS,,KEEP_ARAZI_ONLY,,arac/arazi-suv-pickup,Crossover/SUV; ZS EV via electric overlay
MANUAL,Mercedes-Benz,Vito,,KEEP_MINIVAN_ONLY,,arac/minivan-panelvan,Canonical minivan-panelvan; no ticari duplicate series
MANUAL,Iveco,Daily,,DUAL_LINK_MINIVAN_TICARI,,arac/minivan-panelvan,"One series, two category links by body use — no duplicate ProductModel"
MANUAL,Volkswagen,Crafter,,DUAL_LINK_MINIVAN_TICARI,,arac/minivan-panelvan,"One series, two category links — no duplicate ProductModel"
ELECTRIC,aion,es,arac/otomobil,,true,,
ELECTRIC,aion,hyper-gt,arac/otomobil,,true,,
ELECTRIC,aion,s,arac/otomobil,,true,,
ELECTRIC,aion,y-plus,arac/arazi-suv-pickup,,true,,
ELECTRIC,audi,a6-e-tron,arac/otomobil,,false,,
ELECTRIC,audi,e-tron-gt,arac/otomobil,,true,,
ELECTRIC,audi,q4-e-tron,arac/arazi-suv-pickup,,true,,
ELECTRIC,audi,q6-e-tron,arac/arazi-suv-pickup,,true,,
ELECTRIC,audi,q8-e-tron,arac/arazi-suv-pickup,,true,,
ELECTRIC,bmw,i3,arac/otomobil,,false,,
ELECTRIC,bmw,i4,arac/otomobil,,false,,
ELECTRIC,bmw,i5,arac/otomobil,,false,,
ELECTRIC,bmw,i7,arac/otomobil,,false,,
ELECTRIC,bmw,ix,arac/arazi-suv-pickup,,true,,
ELECTRIC,bmw,ix1,arac/arazi-suv-pickup,,true,,
ELECTRIC,bmw,ix2,arac/arazi-suv-pickup,,true,,
ELECTRIC,bmw,ix3,arac/arazi-suv-pickup,,true,,
ELECTRIC,byd,atto-3,arac/arazi-suv-pickup,,true,,
ELECTRIC,byd,dolphin,arac/otomobil,,true,,
ELECTRIC,byd,han,arac/otomobil,,true,,
ELECTRIC,byd,seal,arac/otomobil,,true,,
ELECTRIC,byd,seal-u,arac/arazi-suv-pickup,,true,,
ELECTRIC,byd,tang,arac/arazi-suv-pickup,,true,,
ELECTRIC,citroen,ami,arac/otomobil,,false,,
ELECTRIC,citroen,e-berlingo,arac/minivan-panelvan,,false,,
ELECTRIC,citroen,e-c3,arac/otomobil,,false,,
ELECTRIC,citroen,e-c4,arac/otomobil,,false,,
ELECTRIC,citroen,e-c4-x,arac/arazi-suv-pickup,,false,,
ELECTRIC,cupra,born,arac/otomobil,,true,,
ELECTRIC,cupra,tavascan,arac/arazi-suv-pickup,,true,,
ELECTRIC,ds-automobiles,ds-3-e-tense,arac/arazi-suv-pickup,,false,,
ELECTRIC,ds-automobiles,ds-4-e-tense,arac/otomobil,,false,,
ELECTRIC,fiat,500e,arac/otomobil,,false,,
ELECTRIC,fiat,600e,arac/arazi-suv-pickup,,false,,
ELECTRIC,fiat,e-doblo,arac/minivan-panelvan,,false,,
ELECTRIC,fiat,e-ducato,arac/ticari-araclar,,false,,
ELECTRIC,fiat,topolino,arac/otomobil,,false,,
ELECTRIC,ford,capri-ev,arac/arazi-suv-pickup,,false,,
ELECTRIC,ford,e-transit,arac/ticari-araclar,,false,,
ELECTRIC,ford,e-transit-courier,arac/minivan-panelvan,,false,,
ELECTRIC,ford,explorer-ev,arac/arazi-suv-pickup,,false,,
ELECTRIC,ford,mustang-mach-e,arac/arazi-suv-pickup,,false,,
ELECTRIC,honda,e-ny1,arac/arazi-suv-pickup,,false,,
ELECTRIC,honda,honda-e,arac/otomobil,,false,,
ELECTRIC,hyundai,inster,arac/otomobil,,false,,
ELECTRIC,hyundai,ioniq-5,arac/arazi-suv-pickup,,true,,
ELECTRIC,hyundai,ioniq-6,arac/otomobil,,false,,
ELECTRIC,hyundai,kona-electric,arac/arazi-suv-pickup,,false,,
ELECTRIC,jaguar,i-pace,arac/arazi-suv-pickup,,true,,
ELECTRIC,jeep,avenger-electric,arac/arazi-suv-pickup,,false,,
ELECTRIC,kia,ev3,arac/arazi-suv-pickup,,true,,
ELECTRIC,kia,ev5,arac/arazi-suv-pickup,,false,,
ELECTRIC,kia,ev6,arac/arazi-suv-pickup,,true,,
ELECTRIC,kia,ev9,arac/arazi-suv-pickup,,true,,
ELECTRIC,kia,niro-ev,arac/arazi-suv-pickup,,false,,
ELECTRIC,leapmotor,c10,arac/arazi-suv-pickup,,true,,
ELECTRIC,leapmotor,c11,arac/arazi-suv-pickup,,true,,
