electricVehicleType,brand,series,modelVariant,canonicalCategory,canonicalSubcategory,canonicalBrandId,canonicalSeriesId,canonicalVariantId,canonicalExists,fuelType,action,source,confidence
elektrikli-otomobil,Aion,ES,ES,arac/otomobil,,cmsi37wxs0001uzbgk00peexm,cmsi37z82005wuzbgovgxyfkj,,true,ELECTRIC,LINK_EXISTING_CANONICAL+CREATE_ELECTRIC_OVERLAY+ADD_ELECTRIC_FUEL_TYPE,oem-public-nav,medium
elektrikli-otomobil,Aion,Hyper GT,Hyper GT,arac/otomobil,,cmsi37wxs0001uzbgk00peexm,cmsi37z8d005yuzbgz0e4vl9y,,true,ELECTRIC,LINK_EXISTING_CANONICAL+CREATE_ELECTRIC_OVERLAY+ADD_ELECTRIC_FUEL_TYPE,oem-public-nav,medium
elektrikli-otomobil,Aion,S,S,arac/otomobil,,cmsi37wxs0001uzbgk00peexm,cmsi37z8m0060uzbg9qasyvat,,true,ELECTRIC,LINK_EXISTING_CANONICAL+CREATE_ELECTRIC_OVERLAY+ADD_ELECTRIC_FUEL_TYPE,oem-public-nav,medium
elektrikli-suv-pickup,Aion,Y Plus,Y Plus,arac/arazi-suv-pickup,,cmsi37wxs0001uzbgk00peexm,cmsi37z9c0066uzbg5lh072z7,,true,ELECTRIC,LINK_EXISTING_CANONICAL+CREATE_ELECTRIC_OVERLAY+ADD_ELECTRIC_FUEL_TYPE,oem-public-nav,medium
elektrikli-otomobil,Audi,A6 e-tron,Sportback | Avant,arac/otomobil,,cmshtjhpw0000uz6sz57s788k,,,false,ELECTRIC,CREATE_CANONICAL_SERIES+CREATE_ELECTRIC_OVERLAY+ADD_ELECTRIC_FUEL_TYPE,oem-public-nav,high
elektrikli-otomobil,Audi,e-tron GT,e-tron GT,arac/otomobil,,cmshtjhpw0000uz6sz57s788k,cmsi37zl8008wuzbguo2k40xe,,true,ELECTRIC,LINK_EXISTING_CANONICAL+CREATE_ELECTRIC_OVERLAY+ADD_ELECTRIC_FUEL_TYPE,oem-public-nav,high
elektrikli-suv-pickup,Audi,Q4 e-tron,Q4 e-tron,arac/arazi-suv-pickup,,cmshtjhpw0000uz6sz57s788k,cmsi383zf0182uzbgumyk3z2s,,true,ELECTRIC,LINK_EXISTING_CANONICAL+CREATE_ELECTRIC_OVERLAY+ADD_ELECTRIC_FUEL_TYPE,oem-public-nav,high
elektrikli-suv-pickup,Audi,Q6 e-tron,Q6 e-tron,arac/arazi-suv-pickup,,cmshtjhpw0000uz6sz57s788k,cmsi383zm0184uzbguyfspgsm,,true,ELECTRIC,LINK_EXISTING_CANONICAL+CREATE_ELECTRIC_OVERLAY+ADD_ELECTRIC_FUEL_TYPE,oem-public-nav,high
elektrikli-suv-pickup,Audi,Q8 e-tron,Q8 e-tron,arac/arazi-suv-pickup,,cmshtjhpw0000uz6sz57s788k,cmsi38407018auzbgtqszhdvo,,true,ELECTRIC,LINK_EXISTING_CANONICAL+CREATE_ELECTRIC_OVERLAY+ADD_ELECTRIC_FUEL_TYPE,oem-public-nav,high
elektrikli-otomobil,BMW,i3,i3,arac/otomobil,,cmshtjhqn0001uz6s33iayix4,,,false,ELECTRIC,CREATE_CANONICAL_SERIES+CREATE_ELECTRIC_OVERLAY+ADD_ELECTRIC_FUEL_TYPE,oem-public-nav,high
elektrikli-otomobil,BMW,i4,eDrive35 | eDrive40 | M50,arac/otomobil,,cmshtjhqn0001uz6s33iayix4,,,false,ELECTRIC,CREATE_CANONICAL_SERIES+CREATE_ELECTRIC_OVERLAY+ADD_ELECTRIC_FUEL_TYPE,oem-public-nav,high
