category,subcategory,brand,sourcePath,reasonEmpty,seriesCount,modelVariantCount,currentlySelectable,shouldRemainVisible,requiredAction
"Arazi, SUV & Pickup",,Daewoo,"Vasıta > Arazi, SUV & Pickup > Daewoo",Marka doğrulandı; seri/model dalı yok (PUBLIC_NAV without SERIES),0,0,no,no,Hide from cascade until series supplied OR supply curated series
"Arazi, SUV & Pickup",,Santana,"Vasıta > Arazi, SUV & Pickup > Santana",Marka doğrulandı; seri/model dalı yok (PUBLIC_NAV without SERIES),0,0,no,no,Hide from cascade until series supplied OR supply curated series
Motosiklet,,Abush,Vasıta > Motosiklet > Abush,Marka doğrulandı; seri/model dalı yok (PUBLIC_NAV without SERIES),0,0,no,no,Hide from cascade until series supplied OR supply curated series
Motosiklet,,Aeon,Vasıta > Motosiklet > Aeon,Marka doğrulandı; seri/model dalı yok (PUBLIC_NAV without SERIES),0,0,no,no,Hide from cascade until series supplied OR supply curated series
Motosiklet,,Ariic,Vasıta > Motosiklet > Ariic,Marka doğrulandı; seri/model dalı yok (PUBLIC_NAV without SERIES),0,0,no,no,Hide from cascade until series supplied OR supply curated series
Motosiklet,,Barossa,Vasıta > Motosiklet > Barossa,Marka doğrulandı; seri/model dalı yok (PUBLIC_NAV without SERIES),0,0,no,no,Hide from cascade until series supplied OR supply curated series
Motosiklet,,Belderia,Vasıta > Motosiklet > Belderia,Marka doğrulandı; seri/model dalı yok (PUBLIC_NAV without SERIES),0,0,no,no,Hide from cascade until series supplied OR supply curated series
Motosiklet,,Better,Vasıta > Motosiklet > Better,Marka doğrulandı; seri/model dalı yok (PUBLIC_NAV without SERIES),0,0,no,no,Hide from cascade until series supplied OR supply curated series
Motosiklet,,Bianchi,Vasıta > Motosiklet > Bianchi,Marka doğrulandı; seri/model dalı yok (PUBLIC_NAV without SERIES),0,0,no,no,Hide from cascade until series supplied OR supply curated series
Motosiklet,,Boom,Vasıta > Motosiklet > Boom,Marka doğrulandı; seri/model dalı yok (PUBLIC_NAV without SERIES),0,0,no,no,Hide from cascade until series supplied OR supply curated series
Motosiklet,,Borelli Ledow,Vasıta > Motosiklet > Borelli Ledow,Marka doğrulandı; seri/model dalı yok (PUBLIC_NAV without SERIES),0,0,no,no,Hide from cascade until series supplied OR supply curated series
Motosiklet,,BSA,Vasıta > Motosiklet > BSA,Marka doğrulandı; seri/model dalı yok (PUBLIC_NAV without SERIES),0,0,no,no,Hide from cascade until series supplied OR supply curated series
Motosiklet,,BuMoto/Jinling,Vasıta > Motosiklet > BuMoto/Jinling,Marka doğrulandı; seri/model dalı yok (PUBLIC_NAV without SERIES),0,0,no,no,Hide from cascade until series supplied OR supply curated series
Motosiklet,,Cheeta,Vasıta > Motosiklet > Cheeta,Marka doğrulandı; seri/model dalı yok (PUBLIC_NAV without SERIES),0,0,no,no,Hide from cascade until series supplied OR supply curated series
Motosiklet,,Cosmopolitan,Vasıta > Motosiklet > Cosmopolitan,Marka doğrulandı; seri/model dalı yok (PUBLIC_NAV without SERIES),0,0,no,no,Hide from cascade until series supplied OR supply curated series
Motosiklet,,CRN,Vasıta > Motosiklet > CRN,Marka doğrulandı; seri/model dalı yok (PUBLIC_NAV without SERIES),0,0,no,no,Hide from cascade until series supplied OR supply curated series
Motosiklet,,CSN Motor,Vasıta > Motosiklet > CSN Motor,Marka doğrulandı; seri/model dalı yok (PUBLIC_NAV without SERIES),0,0,no,no,Hide from cascade until series supplied OR supply curated series
Motosiklet,,Dayun,Vasıta > Motosiklet > Dayun,Marka doğrulandı; seri/model dalı yok (PUBLIC_NAV without SERIES),0,0,no,no,Hide from cascade until series supplied OR supply curated series
Motosiklet,,Delta Motorcycle,Vasıta > Motosiklet > Delta Motorcycle,Marka doğrulandı; seri/model dalı yok (PUBLIC_NAV without SERIES),0,0,no,no,Hide from cascade until series supplied OR supply curated series
Motosiklet,,Dofern,Vasıta > Motosiklet > Dofern,Marka doğrulandı; seri/model dalı yok (PUBLIC_NAV without SERIES),0,0,no,no,Hide from cascade until series supplied OR supply curated series
Motosiklet,,Dorado,Vasıta > Motosiklet > Dorado,Marka doğrulandı; seri/model dalı yok (PUBLIC_NAV without SERIES),0,0,no,no,Hide from cascade until series supplied OR supply curated series
Motosiklet,,Enbest,Vasıta > Motosiklet > Enbest,Marka doğrulandı; seri/model dalı yok (PUBLIC_NAV without SERIES),0,0,no,no,Hide from cascade until series supplied OR supply curated series
Motosiklet,,FCM,Vasıta > Motosiklet > FCM,Marka doğrulandı; seri/model dalı yok (PUBLIC_NAV without SERIES),0,0,no,no,Hide from cascade until series supplied OR supply curated series
Motosiklet,,Fosti,Vasıta > Motosiklet > Fosti,Marka doğrulandı; seri/model dalı yok (PUBLIC_NAV without SERIES),0,0,no,no,Hide from cascade until series supplied OR supply curated series
Motosiklet,,Italjet,Vasıta > Motosiklet > Italjet,Marka doğrulandı; seri/model dalı yok (PUBLIC_NAV without SERIES),0,0,no,no,Hide from cascade until series supplied OR supply curated series
Motosiklet,,Jawa,Vasıta > Motosiklet > Jawa,Marka doğrulandı; seri/model dalı yok (PUBLIC_NAV without SERIES),0,0,no,no,Hide from cascade until series supplied OR supply curated series
Motosiklet,,Jialing,Vasıta > Motosiklet > Jialing,Marka doğrulandı; seri/model dalı yok (PUBLIC_NAV without SERIES),0,0,no,no,Hide from cascade until series supplied OR supply curated series
Motosiklet,,Mash,Vasıta > Motosiklet > Mash,Marka doğrulandı; seri/model dalı yok (PUBLIC_NAV without SERIES),0,0,no,no,Hide from cascade until series supplied OR supply curated series
Motosiklet,,Meka,Vasıta > Motosiklet > Meka,Marka doğrulandı; seri/model dalı yok (PUBLIC_NAV without SERIES),0,0,no,no,Hide from cascade until series supplied OR supply curated series
Motosiklet,,Motron,Vasıta > Motosiklet > Motron,Marka doğrulandı; seri/model dalı yok (PUBLIC_NAV without SERIES),0,0,no,no,Hide from cascade until series supplied OR supply curated series
Motosiklet,,MZ,Vasıta > Motosiklet > MZ,Marka doğrulandı; seri/model dalı yok (PUBLIC_NAV without SERIES),0,0,no,no,Hide from cascade until series supplied OR supply curated series
Motosiklet,,Skyjet,Vasıta > Motosiklet > Skyjet,Marka doğrulandı; seri/model dalı yok (PUBLIC_NAV without SERIES),0,0,no,no,Hide from cascade until series supplied OR supply curated series
Motosiklet,,Çelik Motor,Vasıta > Motosiklet > Çelik Motor,Marka doğrulandı; seri/model dalı yok (PUBLIC_NAV without SERIES),0,0,no,no,Hide from cascade until series supplied OR supply curated series
