brandSlug,modelSlug,categoryPath,fuelTypes,level,action
aion,es,arac/otomobil,ELECTRIC,series,SET_FUEL_TYPES
aion,hyper-gt,arac/otomobil,ELECTRIC,series,SET_FUEL_TYPES
aion,s,arac/otomobil,ELECTRIC,series,SET_FUEL_TYPES
aion,y-plus,arac/arazi-suv-pickup,ELECTRIC,series,SET_FUEL_TYPES
audi,a6-e-tron,arac/otomobil,ELECTRIC,series,SET_FUEL_TYPES
audi,e-tron-gt,arac/otomobil,ELECTRIC,series,SET_FUEL_TYPES
audi,q4-e-tron,arac/arazi-suv-pickup,ELECTRIC,series,SET_FUEL_TYPES
audi,q6-e-tron,arac/arazi-suv-pickup,ELECTRIC,series,SET_FUEL_TYPES
audi,q8-e-tron,arac/arazi-suv-pickup,ELECTRIC,series,SET_FUEL_TYPES
bmw,i3,arac/otomobil,ELECTRIC,series,SET_FUEL_TYPES
bmw,i4,arac/otomobil,ELECTRIC,series,SET_FUEL_TYPES
bmw,i5,arac/otomobil,ELECTRIC,series,SET_FUEL_TYPES
bmw,i7,arac/otomobil,ELECTRIC,series,SET_FUEL_TYPES
bmw,ix,arac/arazi-suv-pickup,ELECTRIC,series,SET_FUEL_TYPES
bmw,ix1,arac/arazi-suv-pickup,ELECTRIC,series,SET_FUEL_TYPES
bmw,ix2,arac/arazi-suv-pickup,ELECTRIC,series,SET_FUEL_TYPES
bmw,ix3,arac/arazi-suv-pickup,ELECTRIC,series,SET_FUEL_TYPES
byd,atto-3,arac/arazi-suv-pickup,ELECTRIC,series,SET_FUEL_TYPES
byd,dolphin,arac/otomobil,ELECTRIC,series,SET_FUEL_TYPES
byd,han,arac/otomobil,ELECTRIC,series,SET_FUEL_TYPES
byd,seal,arac/otomobil,ELECTRIC,series,SET_FUEL_TYPES
byd,seal-u,arac/arazi-suv-pickup,ELECTRIC,series,SET_FUEL_TYPES
byd,tang,arac/arazi-suv-pickup,ELECTRIC,series,SET_FUEL_TYPES
citroen,ami,arac/otomobil,ELECTRIC,series,SET_FUEL_TYPES
citroen,e-berlingo,arac/minivan-panelvan,ELECTRIC,series,SET_FUEL_TYPES
citroen,e-c3,arac/otomobil,ELECTRIC,series,SET_FUEL_TYPES
citroen,e-c4,arac/otomobil,ELECTRIC,series,SET_FUEL_TYPES
citroen,e-c4-x,arac/arazi-suv-pickup,ELECTRIC,series,SET_FUEL_TYPES
cupra,born,arac/otomobil,ELECTRIC,series,SET_FUEL_TYPES
cupra,tavascan,arac/arazi-suv-pickup,ELECTRIC,series,SET_FUEL_TYPES
ds-automobiles,ds-3-e-tense,arac/arazi-suv-pickup,ELECTRIC,series,SET_FUEL_TYPES
