sourceFile,rowOrPath,category,brand,series,modelVariant,errorType,originalValue,suggestedCorrection,automaticFixSafe,notes
teklifbu_vasita_katalog_ozet.json,"Vasıta > Arazi, SUV & Pickup > Daewoo",,,,,empty_brand_branch,"Vasıta > Arazi, SUV & Pickup > Daewoo",Add series later or exclude from cascade UI,no,Brand verified for nav but no series/model
teklifbu_vasita_katalog_ozet.json,"Vasıta > Arazi, SUV & Pickup > Santana",,,,,empty_brand_branch,"Vasıta > Arazi, SUV & Pickup > Santana",Add series later or exclude from cascade UI,no,Brand verified for nav but no series/model
teklifbu_vasita_katalog_ozet.json,Vasıta > Motosiklet > Abush,,,,,empty_brand_branch,Vasıta > Motosiklet > Abush,Add series later or exclude from cascade UI,no,Brand verified for nav but no series/model
teklifbu_vasita_katalog_ozet.json,Vasıta > Motosiklet > Aeon,,,,,empty_brand_branch,Vasıta > Motosiklet > Aeon,Add series later or exclude from cascade UI,no,Brand verified for nav but no series/model
teklifbu_vasita_katalog_ozet.json,Vasıta > Motosiklet > Ariic,,,,,empty_brand_branch,Vasıta > Motosiklet > Ariic,Add series later or exclude from cascade UI,no,Brand verified for nav but no series/model
teklifbu_vasita_katalog_ozet.json,Vasıta > Motosiklet > Barossa,,,,,empty_brand_branch,Vasıta > Motosiklet > Barossa,Add series later or exclude from cascade UI,no,Brand verified for nav but no series/model
teklifbu_vasita_katalog_ozet.json,Vasıta > Motosiklet > Belderia,,,,,empty_brand_branch,Vasıta > Motosiklet > Belderia,Add series later or exclude from cascade UI,no,Brand verified for nav but no series/model
teklifbu_vasita_katalog_ozet.json,Vasıta > Motosiklet > Better,,,,,empty_brand_branch,Vasıta > Motosiklet > Better,Add series later or exclude from cascade UI,no,Brand verified for nav but no series/model
teklifbu_vasita_katalog_ozet.json,Vasıta > Motosiklet > Bianchi,,,,,empty_brand_branch,Vasıta > Motosiklet > Bianchi,Add series later or exclude from cascade UI,no,Brand verified for nav but no series/model
teklifbu_vasita_katalog_ozet.json,Vasıta > Motosiklet > Boom,,,,,empty_brand_branch,Vasıta > Motosiklet > Boom,Add series later or exclude from cascade UI,no,Brand verified for nav but no series/model
teklifbu_vasita_katalog_ozet.json,Vasıta > Motosiklet > Borelli Ledow,,,,,empty_brand_branch,Vasıta > Motosiklet > Borelli Ledow,Add series later or exclude from cascade UI,no,Brand verified for nav but no series/model
teklifbu_vasita_katalog_ozet.json,Vasıta > Motosiklet > BSA,,,,,empty_brand_branch,Vasıta > Motosiklet > BSA,Add series later or exclude from cascade UI,no,Brand verified for nav but no series/model
teklifbu_vasita_katalog_ozet.json,Vasıta > Motosiklet > BuMoto/Jinling,,,,,empty_brand_branch,Vasıta > Motosiklet > BuMoto/Jinling,Add series later or exclude from cascade UI,no,Brand verified for nav but no series/model
teklifbu_vasita_katalog_ozet.json,Vasıta > Motosiklet > Cheeta,,,,,empty_brand_branch,Vasıta > Motosiklet > Cheeta,Add series later or exclude from cascade UI,no,Brand verified for nav but no series/model
teklifbu_vasita_katalog_ozet.json,Vasıta > Motosiklet > Cosmopolitan,,,,,empty_brand_branch,Vasıta > Motosiklet > Cosmopolitan,Add series later or exclude from cascade UI,no,Brand verified for nav but no series/model
teklifbu_vasita_katalog_ozet.json,Vasıta > Motosiklet > CRN,,,,,empty_brand_branch,Vasıta > Motosiklet > CRN,Add series later or exclude from cascade UI,no,Brand verified for nav but no series/model
teklifbu_vasita_katalog_ozet.json,Vasıta > Motosiklet > CSN Motor,,,,,empty_brand_branch,Vasıta > Motosiklet > CSN Motor,Add series later or exclude from cascade UI,no,Brand verified for nav but no series/model
teklifbu_vasita_katalog_ozet.json,Vasıta > Motosiklet > Dayun,,,,,empty_brand_branch,Vasıta > Motosiklet > Dayun,Add series later or exclude from cascade UI,no,Brand verified for nav but no series/model
