category,subcategory,brand,series,modelVariant,level,sourceStatus,reasonNotApplied,invalid,manualReview,overlay,requiredAction
Otomobil,,Cupra,Formentor,,SERIES,CURATED_REVIEW,manual_review_blocked,false,true,false,Human decide canonical category then MOVE/CREATE
Otomobil,,Cupra,Formentor,1.5 TSI,MODEL_VARIANT,CURATED_REVIEW,manual_review_blocked,false,true,false,Human decide canonical category then MOVE/CREATE
Otomobil,,Cupra,Formentor,2.0 TSI,MODEL_VARIANT,CURATED_REVIEW,manual_review_blocked,false,true,false,Human decide canonical category then MOVE/CREATE
Otomobil,,Cupra,Formentor,VZ,MODEL_VARIANT,CURATED_REVIEW,manual_review_blocked,false,true,false,Human decide canonical category then MOVE/CREATE
Otomobil,,Cupra,Formentor,e-Hybrid,MODEL_VARIANT,CURATED_REVIEW,manual_review_blocked,false,true,false,Human decide canonical category then MOVE/CREATE
Otomobil,,MG,HS,,SERIES,CURATED_REVIEW,manual_review_blocked,false,true,false,Human decide canonical category then MOVE/CREATE
Otomobil,,MG,HS,Comfort,MODEL_VARIANT,CURATED_REVIEW,manual_review_blocked,false,true,false,Human decide canonical category then MOVE/CREATE
Otomobil,,MG,HS,Luxury,MODEL_VARIANT,CURATED_REVIEW,manual_review_blocked,false,true,false,Human decide canonical category then MOVE/CREATE
Otomobil,,MG,HS,PHEV,MODEL_VARIANT,CURATED_REVIEW,manual_review_blocked,false,true,false,Human decide canonical category then MOVE/CREATE
Otomobil,,MG,ZS,,SERIES,CURATED_REVIEW,manual_review_blocked,false,true,false,Human decide canonical category then MOVE/CREATE
Otomobil,,MG,ZS,Comfort,MODEL_VARIANT,CURATED_REVIEW,manual_review_blocked,false,true,false,Human decide canonical category then MOVE/CREATE
Otomobil,,MG,ZS,Luxury,MODEL_VARIANT,CURATED_REVIEW,manual_review_blocked,false,true,false,Human decide canonical category then MOVE/CREATE
Otomobil,,MG,ZS,EV,MODEL_VARIANT,CURATED_REVIEW,manual_review_blocked,false,true,false,Human decide canonical category then MOVE/CREATE
"Arazi, SUV & Pickup",,Daewoo,,,BRAND,PUBLIC_NAV_VERIFIED,empty_brand_branch,true,false,false,Supply series/models or hide brand from cascade
"Arazi, SUV & Pickup",,Santana,,,BRAND,PUBLIC_NAV_VERIFIED,empty_brand_branch,true,false,false,Supply series/models or hide brand from cascade
Elektrikli Araçlar,,Aion,,,BRAND,PUBLIC_NAV_VERIFIED,overlay_hub_not_seeded,false,false,true,Keep as fuelType/filter overlay; ensure canonical series exists
Elektrikli Araçlar,,Aion,ES,,SERIES,CURATED_REVIEW,overlay_hub_not_seeded,false,false,true,Keep as fuelType/filter overlay; ensure canonical series exists
Elektrikli Araçlar,,Aion,Hyper GT,,SERIES,CURATED_REVIEW,overlay_hub_not_seeded,false,false,true,Keep as fuelType/filter overlay; ensure canonical series exists
Elektrikli Araçlar,,Aion,S,,SERIES,CURATED_REVIEW,overlay_hub_not_seeded,false,false,true,Keep as fuelType/filter overlay; ensure canonical series exists
Elektrikli Araçlar,,Aion,Y Plus,,SERIES,CURATED_REVIEW,overlay_hub_not_seeded,false,false,true,Keep as fuelType/filter overlay; ensure canonical series exists
Elektrikli Araçlar,,Audi,,,BRAND,PUBLIC_NAV_VERIFIED,overlay_hub_not_seeded,false,false,true,Keep as fuelType/filter overlay; ensure canonical series exists
Elektrikli Araçlar,,Audi,A6 e-tron,,SERIES,CURATED_REVIEW,overlay_hub_not_seeded,false,false,true,Keep as fuelType/filter overlay; ensure canonical series exists
Elektrikli Araçlar,,Audi,e-tron GT,,SERIES,CURATED_REVIEW,overlay_hub_not_seeded,false,false,true,Keep as fuelType/filter overlay; ensure canonical series exists
Elektrikli Araçlar,,Audi,Q4 e-tron,,SERIES,CURATED_REVIEW,overlay_hub_not_seeded,false,false,true,Keep as fuelType/filter overlay; ensure canonical series exists
Elektrikli Araçlar,,Audi,Q6 e-tron,,SERIES,CURATED_REVIEW,overlay_hub_not_seeded,false,false,true,Keep as fuelType/filter overlay; ensure canonical series exists
Elektrikli Araçlar,,Audi,Q8 e-tron,,SERIES,CURATED_REVIEW,overlay_hub_not_seeded,false,false,true,Keep as fuelType/filter overlay; ensure canonical series exists
Elektrikli Araçlar,,BMW,,,BRAND,PUBLIC_NAV_VERIFIED,overlay_hub_not_seeded,false,false,true,Keep as fuelType/filter overlay; ensure canonical series exists
Elektrikli Araçlar,,BMW,i3,,SERIES,CURATED_REVIEW,overlay_hub_not_seeded,false,false,true,Keep as fuelType/filter overlay; ensure canonical series exists
Elektrikli Araçlar,,BMW,i4,,SERIES,CURATED_REVIEW,overlay_hub_not_seeded,false,false,true,Keep as fuelType/filter overlay; ensure canonical series exists
Elektrikli Araçlar,,BMW,i5,,SERIES,CURATED_REVIEW,overlay_hub_not_seeded,false,false,true,Keep as fuelType/filter overlay; ensure canonical series exists
Elektrikli Araçlar,,BMW,i7,,SERIES,CURATED_REVIEW,overlay_hub_not_seeded,false,false,true,Keep as fuelType/filter overlay; ensure canonical series exists
Elektrikli Araçlar,,BMW,iX,,SERIES,CURATED_REVIEW,overlay_hub_not_seeded,false,false,true,Keep as fuelType/filter overlay; ensure canonical series exists
Elektrikli Araçlar,,BMW,iX1,,SERIES,CURATED_REVIEW,overlay_hub_not_seeded,false,false,true,Keep as fuelType/filter overlay; ensure canonical series exists
Elektrikli Araçlar,,BMW,iX2,,SERIES,CURATED_REVIEW,overlay_hub_not_seeded,false,false,true,Keep as fuelType/filter overlay; ensure canonical series exists
Elektrikli Araçlar,,BMW,iX3,,SERIES,CURATED_REVIEW,overlay_hub_not_seeded,false,false,true,Keep as fuelType/filter overlay; ensure canonical series exists
Elektrikli Araçlar,,BYD,,,BRAND,PUBLIC_NAV_VERIFIED,overlay_hub_not_seeded,false,false,true,Keep as fuelType/filter overlay; ensure canonical series exists
Elektrikli Araçlar,,BYD,Atto 3,,SERIES,CURATED_REVIEW,overlay_hub_not_seeded,false,false,true,Keep as fuelType/filter overlay; ensure canonical series exists
Elektrikli Araçlar,,BYD,Dolphin,,SERIES,CURATED_REVIEW,overlay_hub_not_seeded,false,false,true,Keep as fuelType/filter overlay; ensure canonical series exists
