category,subcategory,brand,series,modelVariant,level,name,slug,fullPath,source,status,notes,canonicalRef
Otomobil,,Abarth,500,,SERIES,500,500,Vasıta > Otomobil > Abarth > 500,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Abarth,500C,,SERIES,500C,500c,Vasıta > Otomobil > Abarth > 500C,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Abarth,595,,SERIES,595,595,Vasıta > Otomobil > Abarth > 595,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Abarth,595,1.4 T-Jet,MODEL_VARIANT,1.4 T-Jet,1-4-t-jet,Vasıta > Otomobil > Abarth > 595 > 1.4 T-Jet,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Abarth,595,Competizione,MODEL_VARIANT,Competizione,competizione,Vasıta > Otomobil > Abarth > 595 > Competizione,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Abarth,595,Turismo,MODEL_VARIANT,Turismo,turismo,Vasıta > Otomobil > Abarth > 595 > Turismo,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Abarth,695,,SERIES,695,695,Vasıta > Otomobil > Abarth > 695,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Abarth,695,Esseesse,MODEL_VARIANT,Esseesse,esseesse,Vasıta > Otomobil > Abarth > 695 > Esseesse,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Abarth,695,Tributo 131,MODEL_VARIANT,Tributo 131,tributo-131,Vasıta > Otomobil > Abarth > 695 > Tributo 131,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Abarth,Grande Punto,,SERIES,Grande Punto,grande-punto,Vasıta > Otomobil > Abarth > Grande Punto,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Acura,CL,,SERIES,CL,cl,Vasıta > Otomobil > Acura > CL,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Acura,CSX,,SERIES,CSX,csx,Vasıta > Otomobil > Acura > CSX,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Acura,ILX,,SERIES,ILX,ilx,Vasıta > Otomobil > Acura > ILX,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Acura,Integra,,SERIES,Integra,integra,Vasıta > Otomobil > Acura > Integra,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Acura,Legend,,SERIES,Legend,legend,Vasıta > Otomobil > Acura > Legend,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Acura,MDX,,SERIES,MDX,mdx,Vasıta > Otomobil > Acura > MDX,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Acura,NSX,,SERIES,NSX,nsx,Vasıta > Otomobil > Acura > NSX,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Acura,RDX,,SERIES,RDX,rdx,Vasıta > Otomobil > Acura > RDX,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Acura,RL,,SERIES,RL,rl,Vasıta > Otomobil > Acura > RL,curated-market-v1,CURATED_REVIEW,,
Otomobil,,Acura,RSX,,SERIES,RSX,rsx,Vasıta > Otomobil > Acura > RSX,curated-market-v1,CURATED_REVIEW,,
