brand,category,series,seriesResearched,currentCoverage,historicalCoverage,generationCount,verifiedVersionCount,verifiedTrimCount,officialSourceCount,multiSourceCount,reviewRequiredCount,rejectedCount,noVerifiedTrimFound,researchComplete,notes
"BMW","Otomobil","1 Serisi",true,"YES","PARTIAL_PLUS",2,5,2,2,12,0,0,4,true,""
"BMW","Otomobil","2 Serisi",true,"YES","PARTIAL_PLUS",3,6,3,2,9,0,0,3,true,""
"BMW","Otomobil","2 Serisi Active Tourer",true,"YES","PARTIAL",1,4,2,4,2,0,0,2,true,""
"BMW","Otomobil","3 Serisi",true,"YES","PARTIAL_PLUS",5,6,10,2,28,2,0,7,true,""
"BMW","Otomobil","4 Serisi",true,"YES","PARTIAL_PLUS",2,8,2,5,5,0,0,5,true,""
"BMW","Otomobil","5 Serisi",true,"YES","PARTIAL_PLUS",5,6,12,8,31,2,0,4,true,""
"BMW","Otomobil","6 Serisi",true,"LIMITED","PARTIAL_PLUS",3,4,2,0,5,0,0,2,true,""
"BMW","Otomobil","7 Serisi",true,"YES","PARTIAL_PLUS",5,5,2,2,8,2,0,4,true,""
"BMW","Otomobil","8 Serisi",true,"LIMITED","PARTIAL_PLUS",3,3,2,0,6,0,0,0,true,""
"BMW","Otomobil","i Serisi",true,"LIMITED","PARTIAL",1,1,0,0,1,0,0,1,true,""
"BMW","Otomobil","M Serisi",true,"LIMITED","PARTIAL_PLUS",7,7,0,0,7,0,0,7,true,""
"BMW","Otomobil","Z Serisi",true,"LIMITED","PARTIAL",1,2,0,0,2,0,0,2,true,""
"BMW","Arazi, SUV & Pickup","X1",true,"YES","PARTIAL_PLUS",2,9,8,4,25,0,0,4,true,""
"BMW","Arazi, SUV & Pickup","X2",true,"YES","CURRENT_ONLY",1,2,2,1,2,0,0,0,true,"HISTORICAL_COVERAGE_INCOMPLETE: current/MY verified only"
"BMW","Arazi, SUV & Pickup","X3",true,"YES","PARTIAL_PLUS",3,3,4,2,8,1,0,2,true,""
"BMW","Arazi, SUV & Pickup","X4",true,"LIMITED","PARTIAL",1,1,0,0,1,0,0,1,true,""
"BMW","Arazi, SUV & Pickup","X5",true,"YES","PARTIAL_PLUS",4,3,5,1,8,2,0,2,true,""
"BMW","Arazi, SUV & Pickup","X6",true,"YES","PARTIAL",1,2,1,1,1,0,0,1,true,""
"BMW","Arazi, SUV & Pickup","X7",true,"YES","CURRENT_ONLY",0,1,1,1,0,0,0,0,true,"HISTORICAL_COVERAGE_INCOMPLETE: current/MY verified only"
"BMW","Arazi, SUV & Pickup","iX",true,"YES","CURRENT_ONLY",0,1,1,1,0,0,0,0,true,"HISTORICAL_COVERAGE_INCOMPLETE: current/MY verified only"
"BMW","Arazi, SUV & Pickup","iX1",true,"YES","CURRENT_ONLY",0,1,3,3,0,0,0,0,true,"HISTORICAL_COVERAGE_INCOMPLETE: current/MY verified only"
"BMW","Arazi, SUV & Pickup","iX2",true,"YES","CURRENT_ONLY",0,1,1,1,0,0,0,0,true,"HISTORICAL_COVERAGE_INCOMPLETE: current/MY verified only"
"BMW","Arazi, SUV & Pickup","iX3",true,"YES","CURRENT_ONLY",0,1,1,1,0,0,0,0,true,"HISTORICAL_COVERAGE_INCOMPLETE: current/MY verified only"
"BMW","Otomobil","i3",true,"LIMITED","PARTIAL",1,1,0,0,1,0,0,1,true,""
"BMW","Otomobil","i4",true,"YES","CURRENT_ONLY",0,1,3,3,0,0,0,0,true,"HISTORICAL_COVERAGE_INCOMPLETE: current/MY verified only"
"BMW","Otomobil","i5",true,"YES","CURRENT_ONLY",0,2,2,4,0,0,0,0,true,"HISTORICAL_COVERAGE_INCOMPLETE: current/MY verified only"
"BMW","Otomobil","i7",true,"YES","CURRENT_ONLY",0,1,2,2,0,0,0,0,true,"HISTORICAL_COVERAGE_INCOMPLETE: current/MY verified only"
"Mercedes-Benz","Otomobil","A Serisi",true,"YES","PARTIAL_PLUS",2,7,6,0,19,0,0,0,true,""
"Mercedes-Benz","Otomobil","B Serisi",true,"YES","CURRENT_ONLY",1,1,1,0,1,0,0,0,true,"HISTORICAL_COVERAGE_INCOMPLETE: current/MY verified only"
"Mercedes-Benz","Otomobil","C Serisi",true,"YES","PARTIAL_PLUS",4,8,7,4,28,1,1,4,true,""
"Mercedes-Benz","Otomobil","CLA",true,"YES","PARTIAL_PLUS",3,5,2,2,3,0,0,0,true,""
"Mercedes-Benz","Otomobil","CLE",true,"YES","CURRENT_ONLY",2,3,2,0,3,0,1,0,true,"HISTORICAL_COVERAGE_INCOMPLETE: current/MY verified only"
"Mercedes-Benz","Otomobil","CLS",true,"NO","NONE",0,0,0,0,0,1,0,0,true,""
"Mercedes-Benz","Otomobil","E Serisi",true,"YES","PARTIAL_PLUS",3,6,8,5,24,1,1,0,true,""
"Mercedes-Benz","Otomobil","S Serisi",true,"YES","CURRENT_ONLY",1,3,1,0,4,0,0,1,true,"HISTORICAL_COVERAGE_INCOMPLETE: current/MY verified only"
"Mercedes-Benz","Otomobil","SL",true,"LIMITED","CURRENT_ONLY",1,2,1,0,2,0,0,0,true,"HISTORICAL_COVERAGE_INCOMPLETE: current/MY verified only"
"Mercedes-Benz","Otomobil","SLC",true,"NO","NONE",0,0,0,0,0,1,0,0,true,""
"Mercedes-Benz","Otomobil","SLK",true,"NO","HISTORICAL_COVERAGE_INCOMPLETE",1,0,0,0,0,2,0,0,true,""
"Mercedes-Benz","Otomobil","AMG GT",true,"YES","CURRENT_ONLY",1,3,1,0,3,0,0,1,true,"HISTORICAL_COVERAGE_INCOMPLETE: current/MY verified only"
"Mercedes-Benz","Arazi, SUV & Pickup","GLA",true,"YES","PARTIAL",1,1,1,1,1,0,0,0,true,""
"Mercedes-Benz","Arazi, SUV & Pickup","GLB",true,"YES","CURRENT_ONLY",1,2,1,0,2,0,1,0,true,"HISTORICAL_COVERAGE_INCOMPLETE: current/MY verified only"
"Mercedes-Benz","Arazi, SUV & Pickup","GLC",true,"YES","CURRENT_ONLY",2,8,3,7,1,0,1,2,true,"HISTORICAL_COVERAGE_INCOMPLETE: current/MY verified only"
"Mercedes-Benz","Arazi, SUV & Pickup","GLE",true,"YES","CURRENT_ONLY",2,2,1,1,1,0,0,0,true,"HISTORICAL_COVERAGE_INCOMPLETE: current/MY verified only"
"Mercedes-Benz","Arazi, SUV & Pickup","GLS",true,"YES","CURRENT_ONLY",1,1,1,0,1,0,1,0,true,"HISTORICAL_COVERAGE_INCOMPLETE: current/MY verified only"
"Mercedes-Benz","Arazi, SUV & Pickup","G Serisi",true,"YES","PARTIAL_PLUS",2,5,3,4,2,0,0,0,true,""
"Mercedes-Benz","Arazi, SUV & Pickup","EQA",true,"YES","CURRENT_ONLY",1,1,1,1,0,0,0,0,true,"HISTORICAL_COVERAGE_INCOMPLETE: current/MY verified only"
"Mercedes-Benz","Arazi, SUV & Pickup","EQB",true,"NO","NONE",0,0,0,0,0,1,0,0,true,""
"Mercedes-Benz","Otomobil","EQE",true,"YES","CURRENT_ONLY",1,2,1,2,0,0,1,0,true,"HISTORICAL_COVERAGE_INCOMPLETE: current/MY verified only"
"Mercedes-Benz","Arazi, SUV & Pickup","EQE SUV",true,"NO","NONE",0,0,0,0,0,1,0,0,true,""
"Mercedes-Benz","Otomobil","EQS",true,"YES","CURRENT_ONLY",1,2,2,2,0,0,0,0,true,"HISTORICAL_COVERAGE_INCOMPLETE: current/MY verified only"
"Mercedes-Benz","Arazi, SUV & Pickup","EQS SUV",true,"NO","NONE",0,0,0,0,0,1,0,0,true,""
"Mercedes-Benz","Minivan & Panelvan","Vito",true,"NO","NONE",0,0,0,0,0,1,0,0,true,""
"Mercedes-Benz","Minivan & Panelvan","V Serisi",true,"NO","NONE",0,0,0,0,0,1,0,0,true,""
"Audi","Otomobil","A3",true,"YES","CURRENT_ONLY",1,1,2,3,0,0,0,1,true,"HISTORICAL_COVERAGE_INCOMPLETE: current/MY verified only"
"Audi","Otomobil","A4",true,"LIMITED","PARTIAL_PLUS",2,7,5,0,20,2,0,0,true,""
"Audi","Otomobil","A5",true,"NO","HISTORICAL_COVERAGE_INCOMPLETE",0,0,0,0,0,1,0,0,true,""
"Audi","Otomobil","A6",true,"YES","CURRENT_ONLY",1,5,1,5,0,0,0,0,true,"HISTORICAL_COVERAGE_INCOMPLETE: current/MY verified only"
"Audi","Otomobil","A6 e-tron",true,"YES","CURRENT_ONLY",0,1,1,0,1,0,0,0,true,"HISTORICAL_COVERAGE_INCOMPLETE: current/MY verified only"
"Audi","Otomobil","A7",true,"NO","HISTORICAL_COVERAGE_INCOMPLETE",0,0,0,0,0,1,0,0,true,""
"Audi","Otomobil","A8",true,"NO","HISTORICAL_COVERAGE_INCOMPLETE",0,0,0,0,0,1,0,0,true,""
"Audi","Arazi, SUV & Pickup","Q2",true,"NO","HISTORICAL_COVERAGE_INCOMPLETE",0,0,0,0,0,1,0,0,true,""
"Audi","Arazi, SUV & Pickup","Q3",true,"YES","CURRENT_ONLY",1,1,1,1,0,1,0,0,true,"HISTORICAL_COVERAGE_INCOMPLETE: current/MY verified only"
"Audi","Arazi, SUV & Pickup","Q5",true,"YES","CURRENT_ONLY",1,2,1,2,0,1,0,0,true,"HISTORICAL_COVERAGE_INCOMPLETE: current/MY verified only"
"Audi","Arazi, SUV & Pickup","Q7",true,"NO","HISTORICAL_COVERAGE_INCOMPLETE",0,0,0,0,0,1,0,0,true,""
"Audi","Arazi, SUV & Pickup","Q8",true,"NO","HISTORICAL_COVERAGE_INCOMPLETE",0,0,0,0,0,1,0,0,true,""
"Audi","Arazi, SUV & Pickup","Q4 e-tron",true,"YES","CURRENT_ONLY",0,1,1,0,1,1,0,0,true,"HISTORICAL_COVERAGE_INCOMPLETE: current/MY verified only"
"Audi","Arazi, SUV & Pickup","e-tron",true,"NO","NONE",0,0,0,0,0,1,0,0,true,""
"Audi","Otomobil","TT",true,"NO","HISTORICAL_COVERAGE_INCOMPLETE",0,0,0,0,0,1,0,0,true,""
"Volkswagen","Otomobil","Golf",true,"YES","PARTIAL_PLUS",3,7,7,0,28,2,0,0,true,""
"Volkswagen","Otomobil","Polo",true,"YES","CURRENT_ONLY",1,1,1,0,1,1,0,0,true,"HISTORICAL_COVERAGE_INCOMPLETE: current/MY verified only"
"Volkswagen","Otomobil","Passat",true,"YES","CURRENT_ONLY",1,4,4,0,8,1,0,0,true,"HISTORICAL_COVERAGE_INCOMPLETE: current/MY verified only"
"Volkswagen","Arazi, SUV & Pickup","Tiguan",true,"YES","CURRENT_ONLY",0,2,3,0,5,1,0,0,true,"HISTORICAL_COVERAGE_INCOMPLETE: current/MY verified only"
"Volkswagen","Arazi, SUV & Pickup","T-Roc",true,"NO","HISTORICAL_COVERAGE_INCOMPLETE",0,0,0,0,0,1,0,0,true,""
"Volkswagen","Arazi, SUV & Pickup","T-Cross",true,"NO","HISTORICAL_COVERAGE_INCOMPLETE",0,0,0,0,0,1,0,0,true,""
"Volkswagen","Minivan & Panelvan","Caddy",true,"YES","CURRENT_ONLY",1,1,4,4,0,1,0,0,true,"HISTORICAL_COVERAGE_INCOMPLETE: current/MY verified only"
"Volkswagen","Minivan & Panelvan","Transporter",true,"NO","HISTORICAL_COVERAGE_INCOMPLETE",0,0,0,0,0,1,0,0,true,""
"Volkswagen","Otomobil","ID.3",true,"NO","NONE",0,0,0,0,0,1,0,0,true,""
"Volkswagen","Arazi, SUV & Pickup","ID.4",true,"YES","CURRENT_ONLY",0,1,1,0,1,0,0,0,true,"HISTORICAL_COVERAGE_INCOMPLETE: current/MY verified only"
"Volkswagen","Otomobil","ID.7",true,"YES","CURRENT_ONLY",0,1,1,0,1,0,0,0,true,"HISTORICAL_COVERAGE_INCOMPLETE: current/MY verified only"
"Renault","Otomobil","Clio",true,"YES","PARTIAL_PLUS",2,7,5,0,15,0,0,0,true,""
"Renault","Otomobil","Megane",true,"YES","PARTIAL",1,5,3,0,12,1,0,0,true,""
"Renault","Otomobil","Megane E-Tech",true,"YES","CURRENT_ONLY",0,1,2,0,2,0,0,0,true,"HISTORICAL_COVERAGE_INCOMPLETE: current/MY verified only"
"Renault","Arazi, SUV & Pickup","Captur",true,"YES","PARTIAL",1,2,3,0,5,1,0,0,true,""
"Renault","Arazi, SUV & Pickup","Kadjar",true,"NO","HISTORICAL_COVERAGE_INCOMPLETE",0,0,0,0,0,1,0,0,true,""
"Renault","Arazi, SUV & Pickup","Austral",true,"NO","HISTORICAL_COVERAGE_INCOMPLETE",0,0,0,0,0,1,0,0,true,""
"Renault","Otomobil","Symbol",true,"NO","NONE",0,0,0,0,0,1,0,0,true,""
"Renault","Otomobil","Taliant",true,"NO","NONE",0,0,0,0,0,1,0,0,true,""
"Renault","Minivan & Panelvan","Kangoo",true,"YES","CURRENT_ONLY",0,1,1,1,0,1,0,0,true,"HISTORICAL_COVERAGE_INCOMPLETE: current/MY verified only"
"Renault","Minivan & Panelvan","Trafic",true,"NO","HISTORICAL_COVERAGE_INCOMPLETE",0,0,0,0,0,1,0,0,true,""
"Fiat","Otomobil","Egea",true,"YES","PARTIAL",1,5,6,0,31,0,0,0,true,""
"Fiat","Otomobil","Egea Cross",true,"YES","HISTORICAL_COVERAGE_INCOMPLETE",1,1,4,0,4,1,0,0,true,"HISTORICAL_COVERAGE_INCOMPLETE"
"Fiat","Otomobil","Egea Wagon",true,"LIMITED","PARTIAL",1,3,2,0,6,1,0,0,true,""
"Fiat","Minivan & Panelvan","Doblo",true,"LIMITED","PARTIAL",1,1,2,0,2,0,0,0,true,""
"Fiat","Minivan & Panelvan","Doblo Combi",true,"LIMITED","PARTIAL",1,3,3,0,8,0,0,0,true,""
"Ford","Otomobil","Focus",true,"YES","PARTIAL",1,4,5,0,12,0,0,0,true,""
"Ford","Otomobil","Fiesta",true,"LIMITED","PARTIAL",1,3,2,0,4,1,0,0,true,""
"Ford","Minivan & Panelvan","Tourneo Courier",true,"YES","PARTIAL_PLUS",3,5,5,0,14,0,0,0,true,""
"Ford","Minivan & Panelvan","Tourneo Custom",true,"LIMITED","PARTIAL",1,4,3,0,6,1,0,0,true,""
"Ford","Arazi, SUV & Pickup","Puma",true,"LIMITED","PARTIAL",1,3,2,0,4,0,0,0,true,""
"Ford","Arazi, SUV & Pickup","Kuga",true,"LIMITED","PARTIAL",1,3,3,0,6,0,0,0,true,""
"Ford","Otomobil","Focus Hatchback Hybrid",true,"NO","HISTORICAL_COVERAGE_INCOMPLETE",1,0,0,0,0,2,0,0,true,"HISTORICAL_COVERAGE_INCOMPLETE"
"Toyota","Otomobil","Corolla",true,"YES","PARTIAL",1,4,8,0,29,0,0,0,true,""
"Toyota","Arazi, SUV & Pickup","C-HR",true,"YES","PARTIAL_PLUS",2,3,5,0,10,0,0,0,true,""
"Toyota","Arazi, SUV & Pickup","RAV4",true,"LIMITED","PARTIAL",1,1,4,0,7,1,0,0,true,""
"Peugeot","Arazi, SUV & Pickup","3008",true,"YES","PARTIAL_PLUS",2,4,7,2,14,0,0,0,true,""
"Peugeot","Arazi, SUV & Pickup","E-3008",true,"YES","HISTORICAL_COVERAGE_INCOMPLETE",1,1,2,2,0,1,0,0,true,"HISTORICAL_COVERAGE_INCOMPLETE"
"Peugeot","Otomobil","208",true,"YES","PARTIAL_PLUS",2,3,2,1,2,0,0,0,true,""
"Peugeot","Otomobil","308",true,"YES","PARTIAL_PLUS",2,3,2,1,3,0,0,0,true,""
"Peugeot","Arazi, SUV & Pickup","2008",true,"LIMITED","PARTIAL_PLUS",2,5,4,0,10,0,0,0,true,""
"Volvo","Arazi, SUV & Pickup","XC60",true,"YES","PARTIAL",1,3,5,3,3,0,0,0,true,""
"Volvo","Arazi, SUV & Pickup","XC90",true,"LIMITED","PARTIAL",1,2,3,0,4,1,0,0,true,""
"Volvo","Otomobil","V60",true,"YES","HISTORICAL_COVERAGE_INCOMPLETE",0,1,1,1,0,1,0,0,true,"HISTORICAL_COVERAGE_INCOMPLETE"
"Volvo","Arazi, SUV & Pickup","EX40",true,"YES","CURRENT_ONLY",0,1,1,1,0,0,0,0,true,"HISTORICAL_COVERAGE_INCOMPLETE: current/MY verified only"
"Volvo","Arazi, SUV & Pickup","EX30",true,"NO","NONE",0,0,0,0,0,1,0,0,true,""
"Volvo","Arazi, SUV & Pickup","EC40",true,"NO","NONE",0,0,0,0,0,1,0,0,true,""
"Nissan","Arazi, SUV & Pickup","Qashqai",true,"LIMITED","PARTIAL_PLUS",2,4,10,0,17,0,0,0,true,""
"Nissan","Arazi, SUV & Pickup","Qashqai e-POWER",true,"YES","HISTORICAL_COVERAGE_INCOMPLETE",1,1,3,0,3,1,0,0,true,"HISTORICAL_COVERAGE_INCOMPLETE"
"Nissan","Arazi, SUV & Pickup","Juke",true,"LIMITED","PARTIAL",1,3,5,0,8,0,0,0,true,""
