brand,seriesCount,modelCount,trimCount,generationCount,verifiedOfficial,verifiedMultiSource,reviewRequired,rejected,coveragePercent
Alfa Romeo,4,4,3,0,0,4,2,0,
Audi,8,12,3,5,11,7,5,0,
BMW,27,44,14,14,50,68,5,0,
BYD,6,2,3,0,4,0,2,0,
Citroen,4,3,3,4,5,3,1,0,
Cupra,4,1,3,0,0,7,1,0,
Dacia,5,8,4,0,0,15,0,0,
Fiat,4,2,5,2,0,7,2,0,
Ford,5,3,4,3,0,5,3,0,
Honda,2,1,3,1,3,0,1,0,
Hyundai,3,4,6,4,0,12,0,0,
Jaguar,5,3,3,3,0,7,2,0,
Jeep,4,4,3,0,0,5,2,0,
Kia,7,2,6,1,6,0,6,0,
Land Rover,6,4,3,1,4,0,5,0,
Lexus,6,2,7,0,0,7,4,0,
Mazda,6,3,4,2,0,11,3,0,
Mercedes-Benz,26,59,15,27,29,44,8,7,
MG,4,3,4,0,1,4,0,0,
Mini,3,5,3,0,0,6,1,0,
Mitsubishi,4,3,3,1,0,5,3,0,
Nissan,5,4,7,3,0,14,1,0,
Opel,3,5,2,3,6,0,1,0,
Peugeot,6,4,2,4,6,0,2,0,
Porsche,7,46,3,1,4,65,0,0,
Renault,7,8,8,1,1,11,5,0,
Seat,3,4,4,4,0,5,0,0,
Skoda,3,5,7,4,0,12,1,0,
Subaru,5,2,5,0,5,0,2,0,
Suzuki,4,4,4,0,1,5,3,0,
Tesla,4,6,3,0,0,7,3,0,
TOGG,2,3,3,2,4,4,0,0,
Toyota,3,2,9,2,0,12,1,0,
Volkswagen,8,11,10,4,4,21,6,0,
Volvo,6,4,3,0,5,0,3,0,
