brand,series,model,trim,generationCode,yearFrom,yearTo,confidence,decision,notes
Alfa Romeo,Giulia,,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Alfa Romeo,Stelvio,,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Audi,A4,,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Audi,Q3,,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Audi,Q5,,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Audi,Q4 e-tron,,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Audi,e-tron,,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Audi,A4,,,B8,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Audi,A5,,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Audi,A7,,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Audi,A8,,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Audi,Q2,,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Audi,Q7,,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Audi,Q8,,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Audi,TT,,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
BMW,3 Serisi,,,E36,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
BMW,3 Serisi,,,E46,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
BMW,5 Serisi,,,E39,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
BMW,5 Serisi,,,E60,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
BMW,7 Serisi,,,E38,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
BMW,7 Serisi,,,E65,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
BMW,X3,,,E83,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
BMW,X5,,,E53,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
BMW,X5,,,E70,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
BYD,Atto 3,,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
BYD,Dolphin,,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Citroen,C3 (ICE historical),,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Cupra,Born,,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Cupra,Terramar,,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Dacia,Logan,,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Dacia,Jogger,,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Fiat,Egea Wagon,,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Fiat,Egea (historical gasoline),,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Fiat,Egea Cross,,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Ford,Fiesta,,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Ford,Tourneo Custom,,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Ford,Focus Hatchback Hybrid,,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Ford,Focus Hatchback Hybrid,1.0 EcoBoost Hybrid,,C519,2025,2026,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Honda,Civic,,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Hyundai,Bayon,,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Jaguar,XE,,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Jaguar,XF,,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Jeep,Renegade,,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Jeep,Wrangler,,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Kia,Picanto,,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Kia,Stonic,,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Kia,Sorento,,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Kia,EV3,,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Kia,EV6,,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Kia,EV9,,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Land Rover,Range Rover Evoque,,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Land Rover,Discovery Sport,,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Land Rover,Range Rover Velar,,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Land Rover,Range Rover Sport,,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Land Rover,Range Rover,,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Lexus,RX,,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Lexus,RZ,,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Lexus,ES,,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Lexus,LM,,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Mazda,Mazda3,,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Mazda,CX-30,,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Mazda,CX-60,,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Mercedes-Benz,EQB,,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Mercedes-Benz,EQE SUV,,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
Mercedes-Benz,EQS SUV,,,,,,REVIEW_REQUIRED,REVIEW_REQUIRED,Not eligible for auto-apply
