brand,categories,isActive,isSelectable,deepCatalogFileExists,completionReportExists,researchCompleted,classification,seriesResearched,runtimeSeriesCount,verifiedVersionCount,verifiedTrimCount,reviewRequired,noVerifiedTrimFound,sourceCoverage,runtimeHasDeepVersion,runtimeHasTrim
"Abarth","arac/otomobil",true,true,false,false,false,"NOT_RESEARCHED",0,5,0,0,0,0,0,true,false
"Acura","arac/otomobil",true,true,false,false,false,"NOT_RESEARCHED",0,14,0,0,0,0,0,true,false
"Aion","arac/otomobil|arac/arazi-suv-pickup",true,true,false,false,false,"NOT_RESEARCHED",0,6,0,0,0,0,0,true,false
"Alfa Romeo","arac/otomobil|arac/arazi-suv-pickup",true,true,true,true,true,"DEEP_PARTIAL",4,20,7,5,2,0,80,true,true
"Alpine","arac/otomobil",true,true,false,false,false,"NOT_RESEARCHED",0,2,0,0,0,0,0,true,false
"Anadol","arac/otomobil",true,true,false,false,false,"NOT_RESEARCHED",0,6,0,0,0,0,0,true,false
"ARO","arac/arazi-suv-pickup",true,true,false,false,false,"NOT_RESEARCHED",0,3,0,0,0,0,0,true,false
"Arora","arac/otomobil",true,true,false,false,false,"NOT_RESEARCHED",0,3,0,0,0,0,0,true,false
"Askam","arac/minivan-panelvan",true,true,false,false,false,"NOT_RESEARCHED",0,1,0,0,0,0,0,true,false
"Aston Martin","arac/otomobil|arac/arazi-suv-pickup",true,true,false,false,false,"NOT_RESEARCHED",0,12,0,0,0,0,0,true,false
"Audi","arac/otomobil|arac/arazi-suv-pickup",true,true,true,true,true,"DEEP_PARTIAL",14,42,16,6,13,1,72,true,true
"Bajaj","arac/otomobil",true,true,false,false,false,"NOT_RESEARCHED",0,1,0,0,0,0,0,true,false
"Bentley","arac/otomobil|arac/arazi-suv-pickup",true,true,false,false,false,"NOT_RESEARCHED",0,9,0,0,0,0,0,true,false
"BMC","arac/minivan-panelvan",true,true,false,false,false,"NOT_RESEARCHED",0,2,0,0,0,0,0,true,false
"BMW","arac/otomobil|arac/arazi-suv-pickup",true,true,true,true,true,"DEEP_COMPLETE",27,27,83,27,9,52,96,true,true
"Buick","arac/otomobil",true,true,false,false,false,"NOT_RESEARCHED",0,12,0,0,0,0,0,true,false
"BYD","arac/otomobil|arac/arazi-suv-pickup",true,true,true,true,true,"DEEP_PARTIAL",6,8,3,5,2,0,78,true,true
"Cadillac","arac/otomobil|arac/arazi-suv-pickup",true,true,false,false,false,"NOT_RESEARCHED",0,17,0,0,0,0,0,true,false
"Chery","arac/arazi-suv-pickup|arac/otomobil|arac/minivan-panelvan",true,true,false,false,false,"NOT_RESEARCHED",0,13,0,0,0,0,0,true,false
"Chevrolet","arac/otomobil|arac/arazi-suv-pickup|arac/minivan-panelvan",true,true,false,false,false,"NOT_RESEARCHED",0,22,0,0,0,0,0,true,false
"Chrysler","arac/otomobil|arac/arazi-suv-pickup|arac/minivan-panelvan",true,true,false,false,false,"NOT_RESEARCHED",0,14,0,0,0,0,0,true,false
"Citroen","arac/otomobil|arac/arazi-suv-pickup|arac/minivan-panelvan",true,true,true,true,true,"DEEP_PARTIAL",4,32,9,9,1,0,97,true,true
"Cupra","arac/otomobil|arac/arazi-suv-pickup",true,true,true,true,true,"DEEP_PARTIAL",4,6,11,3,2,10,89,true,true
"Dacia","arac/otomobil|arac/arazi-suv-pickup|arac/minivan-panelvan",true,true,true,true,true,"DEEP_PARTIAL",5,10,21,10,2,0,95,true,true
"Daewoo","arac/otomobil|arac/arazi-suv-pickup",true,true,false,false,false,"NOT_RESEARCHED",0,11,0,0,0,0,0,true,false
"Daihatsu","arac/otomobil|arac/arazi-suv-pickup",true,true,false,false,false,"NOT_RESEARCHED",0,11,0,0,0,0,0,true,false
"DFM","arac/arazi-suv-pickup|arac/minivan-panelvan",true,true,false,false,false,"NOT_RESEARCHED",0,2,0,0,0,0,0,true,false
"DFSK","arac/arazi-suv-pickup|arac/minivan-panelvan",true,true,false,false,false,"NOT_RESEARCHED",0,9,0,0,0,0,0,true,false
"Dodge","arac/otomobil|arac/arazi-suv-pickup|arac/minivan-panelvan",true,true,false,false,false,"NOT_RESEARCHED",0,14,0,0,0,0,0,true,false
"DS Automobiles","arac/otomobil|arac/arazi-suv-pickup",true,true,false,false,false,"NOT_RESEARCHED",0,3,0,0,0,0,0,true,false
"DS Automobiles","arac/otomobil|arac/arazi-suv-pickup",true,true,false,false,false,"NOT_RESEARCHED",0,9,0,0,0,0,0,true,false
"Ferrari","arac/otomobil|arac/arazi-suv-pickup",true,true,false,false,false,"NOT_RESEARCHED",0,20,0,0,0,0,0,true,false
"Fiat","arac/otomobil|arac/minivan-panelvan|arac/arazi-suv-pickup",true,true,true,true,true,"DEEP_PARTIAL",5,43,6,10,3,0,94,true,true
"Ford","arac/otomobil|arac/arazi-suv-pickup|arac/minivan-panelvan",true,true,true,true,true,"DEEP_PARTIAL",6,37,19,10,4,0,92,true,true
"Foton","arac/arazi-suv-pickup",true,true,false,false,false,"NOT_RESEARCHED",0,2,0,0,0,0,0,true,false
"GAZ","arac/minivan-panelvan",true,true,false,false,false,"NOT_RESEARCHED",0,2,0,0,0,0,0,true,false
"Geely","arac/otomobil",true,true,false,false,false,"NOT_RESEARCHED",0,7,0,0,0,0,0,true,false
"GMC","arac/arazi-suv-pickup|arac/minivan-panelvan",true,true,false,false,false,"NOT_RESEARCHED",0,8,0,0,0,0,0,true,false
"Honda","arac/otomobil|arac/arazi-suv-pickup",true,true,true,true,true,"DEEP_PARTIAL",2,20,9,7,1,0,96,true,true
"Hongqi","arac/arazi-suv-pickup",true,true,false,false,false,"NOT_RESEARCHED",0,3,0,0,0,0,0,true,false
"Hummer","arac/arazi-suv-pickup",true,true,false,false,false,"NOT_RESEARCHED",0,3,0,0,0,0,0,true,false
"Hyundai","arac/otomobil|arac/arazi-suv-pickup|arac/minivan-panelvan",true,true,true,true,true,"DEEP_PARTIAL",3,29,9,8,1,0,98,true,true
"Ikco","arac/otomobil",true,true,false,false,false,"NOT_RESEARCHED",0,3,0,0,0,0,0,true,false
"Infiniti","arac/otomobil|arac/arazi-suv-pickup",true,true,false,false,false,"NOT_RESEARCHED",0,17,0,0,0,0,0,true,false
"Isuzu","arac/arazi-suv-pickup|arac/otomobil",true,true,false,false,false,"NOT_RESEARCHED",0,5,0,0,0,0,0,true,false
"Iveco","arac/minivan-panelvan",true,true,false,false,false,"NOT_RESEARCHED",0,1,0,0,0,0,0,true,false
